Entity,Code,Year,Gini coefficient (Equivalized income)
Argentina (urban),,1974,0.32187024
Argentina (urban),,1980,0.37607992
Argentina (urban),,2000,0.48244086
Argentina (urban),,2010,0.4084065
Brazil,BRA,1990,0.5854367
Colombia,COL,2010,0.5223902
Costa Rica,CRI,1990,0.4215751
Costa Rica,CRI,2000,0.448766
Costa Rica,CRI,2010,0.4614234
Costa Rica,CRI,2022,0.45346987
Ecuador,ECU,2010,0.4639159
Ecuador,ECU,2022,0.42734456
El Salvador,SLV,2000,0.49170256
El Salvador,SLV,2010,0.4137177
El Salvador,SLV,2022,0.3669344
Mexico,MEX,2000,0.5044651
Mexico,MEX,2010,0.44829044
Paraguay,PRY,1990,0.38845783
Paraguay,PRY,2010,0.48917198
Paraguay,PRY,2022,0.43207222
Uruguay (urban),,2000,0.4028919
