Entity,Code,Year,Share of cereals that are allocated to other uses such as biofuel production
Brazil,BRA,1961,0.0
Brazil,BRA,1970,0.0
Brazil,BRA,1980,0.0
Brazil,BRA,1990,0.0
Brazil,BRA,2000,0.0043228287
Brazil,BRA,2010,0.0015199878
Brazil,BRA,2020,0.0024006434
China,CHN,1961,1.4259089
China,CHN,1970,0.99282223
China,CHN,1980,1.172944
China,CHN,1990,6.116195
China,CHN,2000,3.7202032
China,CHN,2010,6.3697248
China,CHN,2020,12.029871
Colombia,COL,2010,0.0114129195
Colombia,COL,2020,0.0
France,FRA,1961,0.29567188
France,FRA,1970,1.5754601
France,FRA,1980,2.0362172
France,FRA,1990,3.4721053
France,FRA,2000,4.166803
France,FRA,2010,11.044873
France,FRA,2020,6.614632
United Kingdom,GBR,1961,2.7380517
United Kingdom,GBR,1970,5.3880954
United Kingdom,GBR,1980,5.342417
United Kingdom,GBR,1990,4.0219145
United Kingdom,GBR,2000,4.762448
United Kingdom,GBR,2010,5.8560257
United Kingdom,GBR,2020,5.8577404
United States,USA,1961,2.773747
United States,USA,1970,2.4824674
United States,USA,1980,2.7779062
United States,USA,1990,7.3808084
United States,USA,2000,10.427731
United States,USA,2010,44.42283
United States,USA,2020,41.318977
