Entity,Code,Year,Proportion of seats held by women in national parliaments (%)
Barbados,BRB,1997,10.714286
Barbados,BRB,2000,10.714286
Barbados,BRB,2005,13.333333
Barbados,BRB,2010,10.0
Barbados,BRB,2015,16.666666
Barbados,BRB,2021,20.0
Congo,COG,2000,12.0
Congo,COG,2005,8.527132
Congo,COG,2010,7.29927
Congo,COG,2015,7.352941
Congo,COG,2021,11.258278
Cyprus,CYP,1997,5.357143
Cyprus,CYP,2000,7.142857
Cyprus,CYP,2005,16.071428
Cyprus,CYP,2010,12.5
Cyprus,CYP,2015,12.5
Cyprus,CYP,2021,14.285714
Italy,ITA,1997,11.111111
Italy,ITA,2000,11.111111
Italy,ITA,2005,11.525974
Italy,ITA,2010,21.269842
Italy,ITA,2015,30.952381
Italy,ITA,2021,35.714287
Kenya,KEN,1997,2.970297
Kenya,KEN,2000,3.5714285
Kenya,KEN,2005,7.142857
Kenya,KEN,2010,9.821428
Kenya,KEN,2015,19.714285
Kenya,KEN,2021,21.613832
Kiribati,KIR,1997,0.0
Kiribati,KIR,2000,4.878049
Kiribati,KIR,2005,4.7619047
Kiribati,KIR,2010,4.347826
Kiribati,KIR,2015,8.695652
Kiribati,KIR,2021,6.6666665
Kyrgyzstan,KGZ,1997,1.4285715
Kyrgyzstan,KGZ,2000,2.3255813
Kyrgyzstan,KGZ,2005,0.0
Kyrgyzstan,KGZ,2010,23.333334
Kyrgyzstan,KGZ,2015,19.166666
Kyrgyzstan,KGZ,2021,20.454546
Nicaragua,NIC,1997,10.752688
Nicaragua,NIC,2000,9.67742
Nicaragua,NIC,2005,20.652174
Nicaragua,NIC,2010,20.652174
Nicaragua,NIC,2015,41.304348
Nicaragua,NIC,2021,50.54945
Solomon Islands,SLB,2000,2.0408163
Solomon Islands,SLB,2005,0.0
Solomon Islands,SLB,2010,0.0
Solomon Islands,SLB,2015,2.0
Solomon Islands,SLB,2021,8.0
