Entity,Code,Year,Access to electricity (% of population)
Central African Republic,CAF,1995,3.0
Central African Republic,CAF,2000,6.0
Central African Republic,CAF,2005,7.4780445
Central African Republic,CAF,2010,9.8
Central African Republic,CAF,2015,12.72703
Central African Republic,CAF,2020,15.465084
Dominican Republic,DOM,1995,84.79091
Dominican Republic,DOM,2000,88.76493
Dominican Republic,DOM,2005,90.14123
Dominican Republic,DOM,2010,98.14542
Dominican Republic,DOM,2015,98.56036
Dominican Republic,DOM,2020,100.0
Ethiopia,ETH,2000,12.7
Ethiopia,ETH,2005,14.0
Ethiopia,ETH,2010,25.409937
Ethiopia,ETH,2015,29.0
Ethiopia,ETH,2020,51.093983
Georgia,GEO,2000,99.81181
Georgia,GEO,2005,97.93505
Georgia,GEO,2010,100.0
Georgia,GEO,2015,100.0
Georgia,GEO,2020,100.0
Hungary,HUN,1990,100.0
Hungary,HUN,1995,100.0
Hungary,HUN,2000,100.0
Hungary,HUN,2005,100.0
Hungary,HUN,2010,100.0
Hungary,HUN,2015,100.0
Hungary,HUN,2020,100.0
Mexico,MEX,1995,95.89446
Mexico,MEX,2000,98.00713
Mexico,MEX,2005,98.93273
Mexico,MEX,2010,99.236694
Mexico,MEX,2015,99.0
Mexico,MEX,2020,99.4
Slovenia,SVN,1990,100.0
Slovenia,SVN,1995,100.0
Slovenia,SVN,2000,100.0
Slovenia,SVN,2005,100.0
Slovenia,SVN,2010,100.0
Slovenia,SVN,2015,100.0
Slovenia,SVN,2020,100.0
