Entity,Code,Year,Important in life: Work,Continent
Albania,ALB,2022,97.5573,
Bulgaria,BGR,2022,89.90091,
Canada,CAN,2022,75.20905,
Cyprus,CYP,2022,87.77927,
Czechia,CZE,2022,81.40936,
Ethiopia,ETH,2022,99.6748,
Germany,DEU,2022,85.27326,
Greece,GRC,2022,89.50169,
Lebanon,LBN,2022,91.66667,
Libya,LBY,2022,96.30252,
Malaysia,MYS,2022,94.59254,
Mexico,MEX,2022,92.20802,
Mongolia,MNG,2022,86.52805,
Pakistan,PAK,2022,83.25815,
Peru,PER,2022,96.02742,
Portugal,PRT,2022,93.80545,
United States,USA,2022,79.70021,
Venezuela,VEN,2022,93.02521,
