Entity,Code,Year,Deaths - Stroke - Sex: Both - Age: Age-standardized (Rate)
Liberia,LBR,1990,120.09
Liberia,LBR,1995,118.56
Liberia,LBR,2000,111.7
Liberia,LBR,2005,104.68
Liberia,LBR,2010,107.27
Liberia,LBR,2015,100.66
Liberia,LBR,2019,94.76
Mongolia,MNG,1990,184.38
Mongolia,MNG,1995,211.22
Mongolia,MNG,2000,257.82
Mongolia,MNG,2005,298.12
Mongolia,MNG,2010,273.77
Mongolia,MNG,2015,223.44
Mongolia,MNG,2019,220.41
Morocco,MAR,1990,132.16
Morocco,MAR,1995,132.6
Morocco,MAR,2000,122.98
Morocco,MAR,2005,117.64
Morocco,MAR,2010,115.1
Morocco,MAR,2015,121.35
Morocco,MAR,2019,116.41
Myanmar,MMR,1990,277.84
Myanmar,MMR,1995,273.1
Myanmar,MMR,2000,267.12
Myanmar,MMR,2005,251.32
Myanmar,MMR,2010,224.49
Myanmar,MMR,2015,213.45
Myanmar,MMR,2019,209.9
Nigeria,NGA,1990,131.74
Nigeria,NGA,1995,131.94
Nigeria,NGA,2000,130.25
Nigeria,NGA,2005,112.32
Nigeria,NGA,2010,100.71
Nigeria,NGA,2015,97.45
Nigeria,NGA,2019,90.71
