Entity,Code,Year,Per capita domestic aviation CO2,Continent,Land area (sq. km),Year.1
Afghanistan,AFG,2018,1.488983188632785,,652230.0,2018.0
Algeria,DZA,2018,4.426574933401561,,2381741.0,2018.0
Argentina,ARG,2018,34.833742154553825,,2736690.0,2018.0
Australia,AUS,2018,267.16724250943844,,7692020.0,2018.0
Austria,AUT,2018,3.690322874059917,,82520.0,2018.0
Bahrain,BHR,2018,0.0,,780.0,2018.0
Belarus,BLR,2018,0.0,,202980.0,2018.0
Belgium,BEL,2018,0.0,,30280.0,2018.0
Bolivia,BOL,2018,27.093970519246444,,1083300.0,2018.0
Brazil,BRA,2018,42.85892023387701,,8358140.0,2018.0
Brunei,BRN,2018,0.0,,5270.0,2018.0
Canada,CAN,2018,168.26738009232804,,8965590.0,2018.0
Chile,CHL,2018,70.45835435034336,,743532.0,2018.0
Denmark,DNK,2018,32.00817489568846,,40000.0,2018.0
Ecuador,ECU,2018,12.56045892547854,,248360.0,2018.0
Fiji,FJI,2018,52.36095239415354,,18270.0,2018.0
Finland,FIN,2018,37.48191876987539,,303920.0,2018.0
Greece,GRC,2018,38.81752516062027,,128900.0,2018.0
Iceland,ISL,2018,71.32386138474779,,100830.0,2018.0
Japan,JPN,2018,73.95850162323113,,364500.0,2018.0
Kuwait,KWT,2018,0.0,,17820.0,2018.0
Malaysia,MYS,2018,60.28701713377644,,328550.0,2018.0
Malta,MLT,2018,0.0,,320.0,2018.0
Mauritius,MUS,2018,8.748151991033938,,2030.0,2018.0
New Zealand,NZL,2018,174.18853700189754,,263310.0,2018.0
Norway,NOR,2018,209.23018225393247,,365108.0,2018.0
Russia,RUS,2018,63.34202790210368,,16376870.0,2018.0
Saudi Arabia,SAU,2018,65.24327004638248,,2149690.0,2018.0
Trinidad and Tobago,TTO,2018,16.56537099396172,,5130.0,2018.0
Turkey,TUR,2018,42.41700059022032,,769630.0,2018.0
United States,USA,2018,385.5203968376256,,9147420.0,2018.0
