Entity,Code,Year,Annual net change in forest area,imported_deforestation,Continent
Algeria,DZA,2010,7600.0,14828.68192168215,
Australia,AUS,2010,709680.0000000002,5273.130649671661,
Austria,AUT,2010,3600.0000000000005,2908.5189438873144,
Azerbaijan,AZE,2010,9079.999999999998,729.0495624922095,
Bahrain,BHR,2010,20.0,1559.5505155840424,
Belarus,BLR,2010,19900.0,965.3895528824098,
Bhutan,BTN,2010,1980.0,23.186236484089537,
Burundi,BDI,2010,17140.0,166.24369560065816,
Cape Verde,CPV,2010,300.00000000000034,201.13324885245464,
Chile,CHL,2010,174160.0,31897.148720356283,
China,CHN,2010,1936770.0,215512.26091769637,
Croatia,HRV,2010,400.0,818.6889584583935,
Cuba,CUB,2010,50400.0,1742.8678737292705,
Denmark,DNK,2010,7640.000000000002,4020.957596029464,
Finland,FIN,2010,33400.0,2008.8793961290469,
Germany,DEU,2010,2000.0,46622.591615153426,
Iceland,ISL,2010,700.0,72.39375740701864,
India,IND,2010,266400.0,82721.9671824724,
Italy,ITA,2010,53810.0,42982.10574082276,
Jamaica,JAM,2010,3800.0,1037.232483484217,
Kyrgyzstan,KGZ,2010,4430.0,121.56298727879884,
Latvia,LVA,2010,3860.0,362.17742541797327,
Moldova,MDA,2010,2380.0,112.12779409275868,
Morocco,MAR,2010,2020.0,5711.360732495611,
Norway,NOR,2010,7799.999999999999,1531.4913613680926,
Poland,POL,2010,18200.0,9090.22641790321,
Portugal,PRT,2010,12000.0,10232.338784194004,
Romania,ROU,2010,69200.0,2757.092807509313,
Serbia,SRB,2010,1309.9999999999998,550.2938760792364,
Slovenia,SVN,2010,200.0,1774.6737359630658,
Spain,ESP,2010,1170.0,29575.32033767503,
Tunisia,TUN,2010,1530.0000000000002,2500.6883681117606,
Turkey,TUR,2010,109440.0,19279.44493242508,
Ukraine,UKR,2010,21800.0,2391.1817400360014,
United Kingdom,GBR,2010,19200.0,33865.76612762504,
Uruguay,URY,2010,37740.0,732.1823746452155,
Uzbekistan,UZB,2010,39960.0,305.68126176955747,
