Entity,Code,Year,"Beans, dry | 00000176 || Production | 005510 || tonnes"
Brazil,BRA,1961,1744561.0
Brazil,BRA,1970,2211449.0
Brazil,BRA,1980,1968165.0
Brazil,BRA,1990,2234467.0
Brazil,BRA,2000,3056289.0
Brazil,BRA,2010,3158905.0
Brazil,BRA,2021,2899864.0
Chile,CHL,1961,75190.0
Chile,CHL,1970,65584.0
Chile,CHL,1980,84240.0
Chile,CHL,1990,87088.0
Chile,CHL,2000,44274.0
Chile,CHL,2010,23419.5
Chile,CHL,2021,17490.98
China,CHN,1961,2130000.0
China,CHN,1970,1900000.0
China,CHN,1980,1700000.0
China,CHN,1990,1800000.0
China,CHN,2000,1650000.0
China,CHN,2010,1330000.0
China,CHN,2021,1292997.2
India,IND,1961,1685627.0
India,IND,1970,2409000.0
India,IND,1980,2751600.0
India,IND,1990,4084900.0
India,IND,2000,2847000.0
India,IND,2010,4890000.0
India,IND,2021,6120000.0
United States,USA,1961,895679.0
United States,USA,1970,789201.0
United States,USA,1980,1212400.0
United States,USA,1990,1469000.0
United States,USA,2000,1203970.0
United States,USA,2010,1442470.0
United States,USA,2021,1020087.0
