Entity,Code,Year,Deaths - Invasive Non-typhoidal Salmonella (iNTS) - Sex: Both - Age: Under 5 (Number)
Bulgaria,BGR,1990,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2010,0
Bulgaria,BGR,2015,0
Bulgaria,BGR,2019,0
Japan,JPN,1990,1
Japan,JPN,1995,0
Japan,JPN,2000,0
Japan,JPN,2005,0
Japan,JPN,2010,0
Japan,JPN,2015,0
Japan,JPN,2019,0
Mauritania,MRT,1990,41
Mauritania,MRT,1995,41
Mauritania,MRT,2000,52
Mauritania,MRT,2005,55
Mauritania,MRT,2010,39
Mauritania,MRT,2015,32
Mauritania,MRT,2019,24
Paraguay,PRY,1990,1
Paraguay,PRY,1995,1
Paraguay,PRY,2000,1
Paraguay,PRY,2005,1
Paraguay,PRY,2010,1
Paraguay,PRY,2015,1
Paraguay,PRY,2019,1
Saint Vincent and the Grenadines,VCT,1990,0
Saint Vincent and the Grenadines,VCT,1995,0
Saint Vincent and the Grenadines,VCT,2000,0
Saint Vincent and the Grenadines,VCT,2005,0
Saint Vincent and the Grenadines,VCT,2010,0
Saint Vincent and the Grenadines,VCT,2015,0
Saint Vincent and the Grenadines,VCT,2019,0
Togo,TGO,1990,243
Togo,TGO,1995,239
Togo,TGO,2000,258
Togo,TGO,2005,424
Togo,TGO,2010,536
Togo,TGO,2015,396
Togo,TGO,2019,357
Tuvalu,TUV,1990,0
Tuvalu,TUV,1995,0
Tuvalu,TUV,2000,0
Tuvalu,TUV,2005,0
Tuvalu,TUV,2010,0
Tuvalu,TUV,2015,0
Tuvalu,TUV,2019,0
