Entity,Code,Year,Share of the population using at least basic drinking water services
High-income countries,,2000,98.06928
High-income countries,,2005,98.90513
High-income countries,,2010,99.01917
High-income countries,,2015,99.34618
High-income countries,,2020,99.398056
High-income countries,,2022,99.41827
Low-income countries,,2000,41.420204
Low-income countries,,2005,44.92041
Low-income countries,,2010,49.274784
Low-income countries,,2015,52.96265
Low-income countries,,2020,57.338642
Low-income countries,,2022,59.061604
Lower-middle-income countries,,2000,77.539406
Lower-middle-income countries,,2005,80.34054
Lower-middle-income countries,,2010,83.11254
Lower-middle-income countries,,2015,85.901535
Lower-middle-income countries,,2020,88.66229
Lower-middle-income countries,,2022,89.629326
Upper-middle-income countries,,2000,83.31623
Upper-middle-income countries,,2005,87.01235
Upper-middle-income countries,,2010,90.63442
Upper-middle-income countries,,2015,93.679756
Upper-middle-income countries,,2020,96.18971
Upper-middle-income countries,,2022,97.33973
World,OWID_WRL,2000,81.268005
World,OWID_WRL,2005,83.76251
World,OWID_WRL,2010,86.183
World,OWID_WRL,2015,88.3615
World,OWID_WRL,2020,90.3829
World,OWID_WRL,2022,91.18254
