Entity,Code,Year,Share of global annual CO₂ emissions from land-use change
Brazil,BRA,1850,1.5594102
Brazil,BRA,1860,1.4758323
Brazil,BRA,1880,2.7035809
Brazil,BRA,1900,3.824535
Brazil,BRA,1920,8.843717
Brazil,BRA,1940,5.972276
Brazil,BRA,1960,15.624556
Brazil,BRA,1980,33.261257
Brazil,BRA,2000,36.445713
Brazil,BRA,2022,25.823763
European Union (27),,1850,13.214872
European Union (27),,1860,10.695965
European Union (27),,1880,8.982125
European Union (27),,1900,7.0387545
European Union (27),,1920,5.0293674
European Union (27),,1940,3.0739026
European Union (27),,1960,-0.61539537
European Union (27),,1980,-3.8172786
European Union (27),,2000,-3.664073
European Union (27),,2022,-2.8229997
United Kingdom,GBR,1850,0.3229592
United Kingdom,GBR,1860,0.048788533
United Kingdom,GBR,1880,1.1116159
United Kingdom,GBR,1900,0.8489313
United Kingdom,GBR,1920,0.38051578
United Kingdom,GBR,1940,0.29080772
United Kingdom,GBR,1960,0.31886983
United Kingdom,GBR,1980,0.05829128
United Kingdom,GBR,2000,0.01193533
United Kingdom,GBR,2022,0.36962357
United States,USA,1850,30.516905
United States,USA,1860,33.89343
United States,USA,1880,45.859665
United States,USA,1900,34.908
United States,USA,1920,26.38241
United States,USA,1940,11.346113
United States,USA,1960,2.7885869
United States,USA,1980,6.029992
United States,USA,2000,2.5601606
United States,USA,2022,3.288889
