Entity,Code,Year,Air travel trips per capita,Continent,"GDP per capita, PPP (constant 2017 international $)",Year.1
Afghanistan,AFG,2019,0.04,,2079.9219,2019.0
Albania,ALB,2019,0.69,,13655.665,2019.0
Algeria,DZA,2019,0.19,,11627.28,2019.0
Antigua and Barbuda,ATG,2019,2.96,,23035.658,2019.0
Argentina,ARG,2019,0.41,,22071.748,2019.0
Aruba,ABW,2019,10.69,,40780.516,2019.0
Australia,AUS,2019,3.09,,49379.094,2019.0
Austria,AUT,2019,1.51,,55806.438,2019.0
Bahamas,BHS,2019,4.6,,35161.832,2019.0
Bahrain,BHR,2019,1.27,,49768.977,2019.0
Belarus,BLR,2019,0.16,,19279.209,2019.0
Belize,BLZ,2019,3.73,,9028.552,2019.0
Benin,BEN,2019,0.02,,3156.439,2019.0
Bermuda,BMU,2019,7.1,,81681.73,2019.0
Bhutan,BTN,2019,0.41,,11797.284,2019.0
Bosnia and Herzegovina,BIH,2019,0.26,,14634.738,2019.0
Brunei,BRN,2019,1.11,,61424.363,2019.0
Bulgaria,BGR,2019,1.05,,23270.225,2019.0
Burkina Faso,BFA,2019,0.01,,2110.0623,2019.0
Cameroon,CMR,2019,0.03,,3756.5095,2019.0
Canada,CAN,2019,1.96,,49171.51,2019.0
Cape Verde,CPV,2019,1.4,,6835.0786,2019.0
Cayman Islands,CYM,2019,9.24,,72402.836,2019.0
Comoros,COM,2019,0.17,,3290.6506,2019.0
Congo,COG,2019,0.1,,3695.0618,2019.0
Croatia,HRV,2019,1.91,,29352.79,2019.0
Cyprus,CYP,2019,7.11,,41746.918,2019.0
Czechia,CZE,2019,1.01,,40989.727,2019.0
Denmark,DNK,2019,2.96,,56813.965,2019.0
Djibouti,DJI,2019,0.23,,4768.113,2019.0
Dominican Republic,DOM,2019,0.52,,18171.06,2019.0
Gambia,GMB,2019,0.06,,2083.309,2019.0
Grenada,GRD,2019,2.23,,15393.791,2019.0
Hungary,HUN,2019,0.89,,32649.143,2019.0
Iceland,ISL,2019,14.35,,56923.17,2019.0
Iraq,IRQ,2019,0.13,,10299.316,2019.0
Ireland,IRL,2019,4.17,,86681.27,2019.0
Israel,ISR,2019,1.47,,40810.055,2019.0
Latvia,LVA,2019,1.45,,31038.68,2019.0
Luxembourg,LUX,2019,3.7,,114542.5,2019.0
Maldives,MDV,2019,6.12,,20574.404,2019.0
Mauritius,MUS,2019,1.36,,23681.58,2019.0
Norway,NOR,2019,4.9,,64385.008,2019.0
Paraguay,PRY,2019,0.1,,13609.723,2019.0
Poland,POL,2019,0.53,,33159.75,2019.0
Qatar,QAT,2019,1.3,,90840.43,2019.0
Saint Lucia,LCA,2019,1.76,,15460.801,2019.0
Samoa,WSM,2019,1.0,,6346.1465,2019.0
Seychelles,SYC,2019,7.2,,29369.53,2019.0
Slovenia,SVN,2019,0.45,,39034.234,2019.0
Spain,ESP,2019,3.11,,40760.31,2019.0
Switzerland,CHE,2019,3.0,,70857.086,2019.0
Tuvalu,TUV,2019,0.61,,4816.553,2019.0
United States,USA,2019,2.06,,62478.254,2019.0
