Entity,Code,Year,17.9.1 - Total official development assistance (gross disbursement) for technical cooperation (millions of 2021 United States dollars) - DC_FTA_TOTAL
Bahrain,BHR,2000,50000.0
Lebanon,LBN,2000,128200000.0
Lebanon,LBN,2005,43620000.0
Lebanon,LBN,2010,46510000.0
Lebanon,LBN,2015,69200000.0
Lebanon,LBN,2021,131310000.0
Malawi,MWI,2000,124130000.0
Malawi,MWI,2005,85760000.0
Malawi,MWI,2010,118370000.0
Malawi,MWI,2015,188060000.0
Malawi,MWI,2021,165890000.0
Nicaragua,NIC,2000,132560000.0
Nicaragua,NIC,2005,118670000.0
Nicaragua,NIC,2010,104400000.0
Nicaragua,NIC,2015,115220000.0
Nicaragua,NIC,2021,101750000.0
