Entity,Code,Year,"Current number of cases of extensively drug-resistant tuberculosis, in both sexes aged all ages"
African Region (WHO),,1990,0.0
African Region (WHO),,1995,24.55988
African Region (WHO),,2000,126.500015
African Region (WHO),,2005,261.389
African Region (WHO),,2010,372.59653
African Region (WHO),,2015,532.21747
African Region (WHO),,2019,700.1683
Eastern Mediterranean Region (WHO),,1990,0.0
Eastern Mediterranean Region (WHO),,1995,31.186216
Eastern Mediterranean Region (WHO),,2000,254.72176
Eastern Mediterranean Region (WHO),,2005,565.8704
Eastern Mediterranean Region (WHO),,2010,744.57794
Eastern Mediterranean Region (WHO),,2015,1156.529
Eastern Mediterranean Region (WHO),,2019,1455.7544
European Region (WHO),,1990,0.0
European Region (WHO),,1995,627.59827
European Region (WHO),,2000,3453.8584
European Region (WHO),,2005,8703.523
European Region (WHO),,2010,12287.411
European Region (WHO),,2015,12492.056
European Region (WHO),,2019,12915.114
Region of the Americas (WHO),,1990,0.0
Region of the Americas (WHO),,1995,49.150196
Region of the Americas (WHO),,2000,242.5695
Region of the Americas (WHO),,2005,393.541
Region of the Americas (WHO),,2010,442.9394
Region of the Americas (WHO),,2015,528.0632
Region of the Americas (WHO),,2019,683.60425
South-East Asia Region (WHO),,1990,0.0
South-East Asia Region (WHO),,1995,352.55127
South-East Asia Region (WHO),,2000,1909.0588
South-East Asia Region (WHO),,2005,3675.984
South-East Asia Region (WHO),,2010,5451.535
South-East Asia Region (WHO),,2015,7566.8535
South-East Asia Region (WHO),,2019,10111.642
Western Pacific Region (WHO),,1990,0.0
Western Pacific Region (WHO),,1995,1786.5751
Western Pacific Region (WHO),,2000,4666.7036
Western Pacific Region (WHO),,2005,6614.769
Western Pacific Region (WHO),,2010,6000.4253
Western Pacific Region (WHO),,2015,5378.498
Western Pacific Region (WHO),,2019,7059.022
