Entity,Code,Year,Oil electricity per capita - kWh
Brazil,BRA,1985,28.615812
Brazil,BRA,1990,33.640896
Brazil,BRA,1995,46.36557
Brazil,BRA,2000,83.69642
Brazil,BRA,2005,63.11653
Brazil,BRA,2010,78.32812
Brazil,BRA,2015,133.38974
Brazil,BRA,2020,62.477627
Brazil,BRA,2022,47.419228
France,FRA,1985,128.14812
France,FRA,1990,227.60754
France,FRA,1995,182.86197
France,FRA,2000,206.25427
France,FRA,2005,211.03923
France,FRA,2010,168.30928
France,FRA,2015,182.10378
France,FRA,2020,151.51973
France,FRA,2022,149.78346
Greenland,GRL,2000,4448.082
Greenland,GRL,2005,2635.7869
Greenland,GRL,2010,2128.6409
Greenland,GRL,2015,1609.5573
Greenland,GRL,2020,1605.7378
Japan,JPN,1985,1518.0128
Japan,JPN,1990,2324.7346
Japan,JPN,1995,1982.5148
Japan,JPN,2000,1441.4387
Japan,JPN,2005,1447.2014
Japan,JPN,2010,800.1222
Japan,JPN,2015,820.74054
Japan,JPN,2020,283.5248
Japan,JPN,2022,369.7408
Saudi Arabia,SAU,1985,1699.0714
Saudi Arabia,SAU,1990,2446.2651
Saudi Arabia,SAU,1995,3182.8103
Saudi Arabia,SAU,2000,3473.2732
Saudi Arabia,SAU,2005,3406.8855
Saudi Arabia,SAU,2010,4671.234
Saudi Arabia,SAU,2015,5656.822
Saudi Arabia,SAU,2020,4122.8315
Saudi Arabia,SAU,2022,3608.466
Spain,ESP,1985,201.36763
Spain,ESP,1990,248.39363
Spain,ESP,1995,404.37463
Spain,ESP,2000,612.39545
Spain,ESP,2005,608.44165
Spain,ESP,2010,391.00095
Spain,ESP,2015,416.09824
Spain,ESP,2020,261.381
Spain,ESP,2022,242.43758
United States,USA,1985,458.2017
United States,USA,1990,548.1162
United States,USA,1995,301.75977
United States,USA,2000,410.83777
United States,USA,2005,424.9052
United States,USA,2010,152.64337
United States,USA,2015,136.90367
United States,USA,2020,102.220024
United States,USA,2022,114.22158
