Entity,Code,Year,"Number of one-year-olds not vaccinated with rubella-containing vaccine, 1st dose"
Norway,NOR,1983,10193
Norway,NOR,1985,5017
Norway,NOR,1990,7581
Norway,NOR,1995,4804
Norway,NOR,2000,7118
Norway,NOR,2005,5759
Norway,NOR,2010,4359
Norway,NOR,2015,3005
Norway,NOR,2021,1627
Peru,PER,2005,138516
Peru,PER,2010,36687
Peru,PER,2015,46397
Peru,PER,2021,129457
Slovenia,SVN,1995,1417
Slovenia,SVN,2000,904
Slovenia,SVN,2005,1097
Slovenia,SVN,2010,1119
Slovenia,SVN,2015,1291
Slovenia,SVN,2021,985
