Entity,Code,Year,pop_missdem_fh,pop_nonelectdem_fh,pop_electdem_fh
World,OWID_WRL,2005,24310023,2870465338,3663700984
World,OWID_WRL,2006,16346223,2963991019,3661382252
World,OWID_WRL,2008,17435512,3210214392,3584257041
World,OWID_WRL,2010,18606417,3254188466,3713123995
World,OWID_WRL,2012,9170623,3278272737,3874573008
World,OWID_WRL,2014,9456363,3651032368,3678845936
World,OWID_WRL,2016,13186129,3724714708,3775897437
World,OWID_WRL,2018,13060494,3906226436,3764504706
World,OWID_WRL,2020,13322256,4253380809,3574251537
World,OWID_WRL,2022,13618345,4397513233,3563975405
