Entity,Code,Year,Change in global mean surface temperature caused by greenhouse gas emissions from fossil fuels and industry,Change in global mean surface temperature caused by greenhouse gas emissions from agriculture and land use
Denmark,DNK,1851,3.1606092e-07,3.0850026e-06
Denmark,DNK,1880,1.8457586e-05,0.00010594701
Denmark,DNK,1900,5.0689567e-05,0.00018941931
Denmark,DNK,1920,0.00012245476,0.00030051413
Denmark,DNK,1940,0.00024592833,0.000421695
Denmark,DNK,1960,0.0004772989,0.00065064407
Denmark,DNK,1980,0.0010483352,0.00075440365
Denmark,DNK,2021,0.002074772,0.0007505142
Dominican Republic,DOM,1851,7.2357494e-08,3.5039e-07
Dominican Republic,DOM,1880,3.0940062e-06,2.2333334e-05
Dominican Republic,DOM,1900,6.7993183e-06,5.602269e-05
Dominican Republic,DOM,1920,1.4374678e-05,0.00010932688
Dominican Republic,DOM,1940,3.1075884e-05,0.00018971782
Dominican Republic,DOM,1960,6.3648135e-05,0.0003816522
Dominican Republic,DOM,1980,0.00012967874,0.00057474675
Dominican Republic,DOM,2021,0.0005749228,0.0007653984
Estonia,EST,1851,5.4563678e-08,3.6170536e-06
Estonia,EST,1880,2.527286e-06,8.553587e-05
Estonia,EST,1900,7.5979583e-06,0.000121546655
Estonia,EST,1920,1.8161783e-05,0.00015149915
Estonia,EST,1940,4.267439e-05,0.00017866892
Estonia,EST,1960,0.00013243391,0.00019630557
Estonia,EST,1980,0.00040150946,0.00021785426
Estonia,EST,2021,0.0008668406,0.00017624178
Norway,NOR,1851,2.157966e-07,3.212656e-06
Norway,NOR,1880,1.3606327e-05,9.0316724e-05
Norway,NOR,1900,4.1386687e-05,0.00014248089
Norway,NOR,1920,9.967637e-05,0.00019562882
Norway,NOR,1940,0.0001847455,0.00024045042
Norway,NOR,1960,0.00031346251,0.00031564294
Norway,NOR,1980,0.0007377384,0.0003552917
Norway,NOR,2021,0.0022898114,0.0004440917
Pakistan,PAK,1851,1.1451546e-06,8.319203e-06
Pakistan,PAK,1880,3.5752848e-05,0.00025353825
Pakistan,PAK,1900,5.7405578e-05,0.00042060507
Pakistan,PAK,1920,8.567424e-05,0.00061439205
Pakistan,PAK,1940,0.00013535353,0.00093515
Pakistan,PAK,1960,0.00033873948,0.0016588289
Pakistan,PAK,1980,0.0009155545,0.002579131
Pakistan,PAK,2021,0.005341704,0.006821091
Venezuela,VEN,1851,3.5039358e-07,1.781426e-05
Venezuela,VEN,1880,1.1525164e-05,0.00042304894
Venezuela,VEN,1900,2.0322757e-05,0.00060117285
Venezuela,VEN,1920,0.0001928065,0.00079066993
Venezuela,VEN,1940,0.002313234,0.0012516815
Venezuela,VEN,1960,0.0049433955,0.0021199742
Venezuela,VEN,1980,0.003003771,0.0028454766
Venezuela,VEN,2021,0.006006155,0.004477341
