Entity,Code,Year,"Deaths that are from lower respiratory infections per 100,000 people, in both sexes aged under 5","Deaths that are from diarrheal diseases per 100,000 people, in both sexes aged under 5","Deaths that are from neonatal preterm birth per 100,000 people, in both sexes aged under 5","Deaths that are from neonatal encephalopathy due to birth asphyxia and trauma per 100,000 people, in both sexes aged under 5","Deaths that are from measles per 100,000 people, in both sexes aged under 5","Deaths that are from malaria per 100,000 people, in both sexes aged under 5","Deaths that are from other neonatal disorders per 100,000 people, in both sexes aged under 5","Deaths that are from protein-energy malnutrition per 100,000 people, in both sexes aged under 5","Deaths that are from congenital heart anomalies per 100,000 people, in both sexes aged under 5","Deaths that are from meningitis per 100,000 people, in both sexes aged under 5","Deaths that are from neonatal sepsis and other neonatal infections per 100,000 people, in both sexes aged under 5","Deaths that are from other congenital birth defects per 100,000 people, in both sexes aged under 5"
Mali,MLI,1990,480.12964,990.9088,416.0336,534.54663,647.96075,980.0241,60.645653,391.79453,47.56839,243.93407,221.15276,62.669205
Mali,MLI,1995,445.52313,925.1185,380.86975,493.69797,511.6868,870.4505,54.90519,396.38574,42.569984,226.41885,208.20564,55.380074
Mali,MLI,2000,492.33136,770.9773,312.242,411.93802,327.76694,749.58966,43.219955,409.74524,35.36335,207.18077,181.90184,45.314842
Mali,MLI,2005,396.36084,513.6566,292.49112,381.7519,51.10733,859.8886,40.04213,327.70184,37.019253,188.49008,174.10876,45.185223
Mali,MLI,2010,359.08353,289.43817,286.60043,368.1387,181.25114,699.106,37.576176,236.38638,36.492935,164.08818,168.01282,43.623856
Mali,MLI,2015,310.19843,177.00671,278.12244,342.67807,132.22928,622.01605,37.292526,268.73596,35.252205,107.7363,163.5209,41.53253
Mali,MLI,2019,288.94742,159.29056,261.40497,315.68222,60.12842,347.1132,37.00614,302.17093,36.224438,100.81129,159.21733,41.872116
World,OWID_WRL,1990,349.4814,260.9618,200.76106,127.93231,111.417435,87.61462,85.419785,79.625244,52.253365,44.952106,41.155415,30.257103
World,OWID_WRL,1995,302.82892,230.5408,185.85376,127.14406,101.40493,90.3165,82.582245,67.264496,47.109673,40.90033,42.227734,28.082516
World,OWID_WRL,2000,251.48547,198.31775,168.55351,128.22145,83.71161,93.96835,82.00248,50.775726,42.910202,36.943573,43.481438,26.219553
World,OWID_WRL,2005,202.8036,162.05608,152.23828,124.61339,52.601242,97.14695,79.697105,33.89133,39.205532,33.95458,43.437233,24.67408
World,OWID_WRL,2010,161.04294,129.81297,136.78592,110.963875,27.994854,87.70432,73.041405,25.63709,34.929947,29.212097,39.79199,22.352493
World,OWID_WRL,2015,130.60416,95.278465,120.06734,97.82256,16.596054,65.37498,65.206825,18.558012,30.767662,21.38513,36.482796,20.216873
World,OWID_WRL,2019,101.37061,75.53283,100.1022,85.536995,10.538531,53.76276,56.225143,14.141912,26.317242,16.92784,34.173546,17.798925
