Entity,Code,Year,"Current number of cases of trachoma per 100,000 people, in both sexes aged age-standardized"
Burkina Faso,BFA,1990,928.70807
Burkina Faso,BFA,1995,1196.1294
Burkina Faso,BFA,2000,756.987
Burkina Faso,BFA,2005,431.1612
Burkina Faso,BFA,2010,206.27612
Burkina Faso,BFA,2015,128.2892
Burkina Faso,BFA,2019,82.88215
Chad,TCD,1990,1588.0048
Chad,TCD,1995,1241.59
Chad,TCD,2000,895.2713
Chad,TCD,2005,467.8996
Chad,TCD,2010,197.49097
Chad,TCD,2015,113.5618
Chad,TCD,2019,80.393456
Ethiopia,ETH,1990,2006.4056
Ethiopia,ETH,1995,1864.8846
Ethiopia,ETH,2000,1737.3823
Ethiopia,ETH,2005,1628.4812
Ethiopia,ETH,2010,1493.8815
Ethiopia,ETH,2015,1362.359
Ethiopia,ETH,2019,1352.7994
Niger,NER,1990,1733.6587
Niger,NER,1995,1721.4517
Niger,NER,2000,1652.0332
Niger,NER,2005,1589.8568
Niger,NER,2010,1536.9161
Niger,NER,2015,1298.1359
Niger,NER,2019,927.7404
South Sudan,SSD,1990,1285.6627
South Sudan,SSD,1995,1229.9823
South Sudan,SSD,2000,976.8262
South Sudan,SSD,2005,670.3077
South Sudan,SSD,2010,527.0123
South Sudan,SSD,2015,442.6748
South Sudan,SSD,2019,341.59833
