Entity,Code,Year,Incidence - Neoplasms - Sex: Both - Age: Age-standardized (Rate)
China,CHN,1990,190.996808826
China,CHN,1995,190.835553069
China,CHN,2000,197.25925120200003
China,CHN,2005,198.618382336
China,CHN,2010,211.35989948
China,CHN,2015,241.259604459
China,CHN,2017,244.214144537
India,IND,1990,99.4270077612
India,IND,1995,95.9807034808
India,IND,2000,97.9422321267
India,IND,2005,94.133989722
India,IND,2010,100.609736716
India,IND,2015,108.561778456
India,IND,2017,112.502773012
United Kingdom,GBR,1990,446.095239097
United Kingdom,GBR,1995,477.383737334
United Kingdom,GBR,2000,474.889594345
United Kingdom,GBR,2005,475.885954903
United Kingdom,GBR,2010,502.79477401
United Kingdom,GBR,2015,505.916275857
United Kingdom,GBR,2017,511.33338629699995
United States,USA,1990,1162.81599137
United States,USA,1995,1269.57019337
United States,USA,2000,1018.93813625
United States,USA,2005,1282.92140161
United States,USA,2010,1272.99970877
United States,USA,2015,1266.67423254
United States,USA,2017,1278.51256654
World,OWID_WRL,1990,296.091377454
World,OWID_WRL,1995,306.901147758
World,OWID_WRL,2000,286.006217001
World,OWID_WRL,2005,302.600785548
World,OWID_WRL,2010,302.489785552
World,OWID_WRL,2015,306.669159923
World,OWID_WRL,2017,306.750944501
