Entity,Code,Year,"17.6.1 - Number of fixed broadband subscriptions, by speed (number) - IT_NET_BBNDN - 10 mbps and over","17.6.1 - Number of fixed broadband subscriptions, by speed (number) - IT_NET_BBNDN - Between 2 mbps and 10 mbps","17.6.1 - Number of fixed broadband subscriptions, by speed (number) - IT_NET_BBNDN - Between 256 kbps and 2 mbps"
Bolivia,BOL,2021,,,164482.0
China,CHN,2021,531874720.0,3808077.0,103797.0
Guinea-Bissau,GNB,2021,16.0,1830.0,1457.0
Ireland,IRL,2021,1486939.0,80598.0,9460.0
Malawi,MWI,2021,480.0,7984.0,4709.0
Mexico,MEX,2021,22436880.0,1376355.0,124279.0
North Macedonia,MKD,2021,460428.0,36001.0,2350.0
Pakistan,PAK,2021,1107703.0,1668080.0,173244.0
Saudi Arabia,SAU,2021,10185813.0,328233.0,74117.0
Vietnam,VNM,2021,19249496.0,69543.0,9153.0
Zambia,ZMB,2021,2150.0,59894.0,18548.0
