Entity,Code,Year,Deaths - Drug use disorders - Sex: Both - Age: Age-standardized (Rate)
Angola,AGO,1990,0.33
Angola,AGO,1995,0.36
Angola,AGO,2000,0.37
Angola,AGO,2005,0.36
Angola,AGO,2010,0.39
Angola,AGO,2015,0.43
Angola,AGO,2019,0.48
Brazil,BRA,1990,0.15
Brazil,BRA,1995,0.17
Brazil,BRA,2000,0.17
Brazil,BRA,2005,0.19
Brazil,BRA,2010,0.31
Brazil,BRA,2015,0.47
Brazil,BRA,2019,0.48
Canada,CAN,1990,1.42
Canada,CAN,1995,1.99
Canada,CAN,2000,2.55
Canada,CAN,2005,3.06
Canada,CAN,2010,3.66
Canada,CAN,2015,5.11
Canada,CAN,2019,6.28
Chile,CHL,1990,0.09
Chile,CHL,1995,0.08
Chile,CHL,2000,0.13
Chile,CHL,2005,0.23
Chile,CHL,2010,0.29
Chile,CHL,2015,0.33
Chile,CHL,2019,0.34
China,CHN,1990,2.42
China,CHN,1995,3.06
China,CHN,2000,2.5
China,CHN,2005,0.87
China,CHN,2010,0.62
China,CHN,2015,0.53
China,CHN,2019,0.66
United Arab Emirates,ARE,1990,2.01
United Arab Emirates,ARE,1995,2.99
United Arab Emirates,ARE,2000,4.12
United Arab Emirates,ARE,2005,4.77
United Arab Emirates,ARE,2010,5.44
United Arab Emirates,ARE,2015,5.7
United Arab Emirates,ARE,2019,5.82
United States,USA,1990,2.06
United States,USA,1995,2.8
United States,USA,2000,4.58
United States,USA,2005,7.67
United States,USA,2010,9.28
United States,USA,2015,14.18
United States,USA,2019,18.83
