Entity,Code,Year,Political regime
Argentina,ARG,2005,1
Argentina,ARG,2008,1
Argentina,ARG,2010,1
Argentina,ARG,2012,1
Argentina,ARG,2014,1
Argentina,ARG,2016,1
Argentina,ARG,2018,1
Argentina,ARG,2020,1
Argentina,ARG,2022,1
Australia,AUS,2005,1
Australia,AUS,2008,1
Australia,AUS,2010,1
Australia,AUS,2012,1
Australia,AUS,2014,1
Australia,AUS,2016,1
Australia,AUS,2018,1
Australia,AUS,2020,1
Australia,AUS,2022,1
Botswana,BWA,2005,1
Botswana,BWA,2008,1
Botswana,BWA,2010,1
Botswana,BWA,2012,1
Botswana,BWA,2014,1
Botswana,BWA,2016,1
Botswana,BWA,2018,1
Botswana,BWA,2020,1
Botswana,BWA,2022,1
China,CHN,2005,0
China,CHN,2008,0
China,CHN,2010,0
China,CHN,2012,0
China,CHN,2014,0
China,CHN,2016,0
China,CHN,2018,0
China,CHN,2020,0
China,CHN,2022,0
