Entity,Code,Year,Case fatality ratio (percentage)
Brazil,BRA,2000,10.0
Brazil,BRA,2005,8.0
Brazil,BRA,2010,10.0
Brazil,BRA,2015,8.0
Brazil,BRA,2020,8.0
Brazil,BRA,2022,11.0
China,CHN,2000,10.0
China,CHN,2005,7.0
China,CHN,2010,6.0
China,CHN,2015,5.0
China,CHN,2020,4.0
China,CHN,2022,4.0
India,IND,2000,32.0
India,IND,2005,25.0
India,IND,2010,19.0
India,IND,2015,14.0
India,IND,2020,13.0
India,IND,2022,12.0
South Africa,ZAF,2000,44.0
South Africa,ZAF,2005,43.0
South Africa,ZAF,2010,20.0
South Africa,ZAF,2015,13.0
South Africa,ZAF,2020,18.0
South Africa,ZAF,2022,20.0
