Entity,Code,Year,Annual greenhouse gas emissions in CO₂ equivalents
Chad,TCD,1850,5180454.0
Chad,TCD,1860,10611437.0
Chad,TCD,1880,3392555.5
Chad,TCD,1900,3096157.0
Chad,TCD,1920,5062751.0
Chad,TCD,1940,9756799.0
Chad,TCD,1960,19589390.0
Chad,TCD,1980,20087820.0
Chad,TCD,2000,55409776.0
Chad,TCD,2021,116463490.0
Lithuania,LTU,1850,11673169.0
Lithuania,LTU,1860,12066124.0
Lithuania,LTU,1880,12676643.0
Lithuania,LTU,1900,14364740.0
Lithuania,LTU,1920,13960243.0
Lithuania,LTU,1940,20503328.0
Lithuania,LTU,1960,33464406.0
Lithuania,LTU,1980,54342548.0
Lithuania,LTU,2000,17712404.0
Lithuania,LTU,2021,24670628.0
Mongolia,MNG,1850,10328757.0
Mongolia,MNG,1860,12074987.0
Mongolia,MNG,1880,15730669.0
Mongolia,MNG,1900,23925056.0
Mongolia,MNG,1920,18294056.0
Mongolia,MNG,1940,16420508.0
Mongolia,MNG,1960,47287744.0
Mongolia,MNG,1980,41980776.0
Mongolia,MNG,2000,37549584.0
Mongolia,MNG,2021,93267630.0
Nepal,NPL,1850,8925812.0
Nepal,NPL,1860,8658480.0
Nepal,NPL,1880,10570206.0
Nepal,NPL,1900,12487571.0
Nepal,NPL,1920,19995772.0
Nepal,NPL,1940,21504276.0
Nepal,NPL,1960,27651076.0
Nepal,NPL,1980,39051420.0
Nepal,NPL,2000,42242044.0
Nepal,NPL,2021,57041572.0
