Entity,Code,Year,15.4.1 - Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%) - ER_PTD_MTN
Central and Southern Asia (UN),,2000,14.12
Central and Southern Asia (UN),,2005,15.26
Central and Southern Asia (UN),,2010,16.44
Central and Southern Asia (UN),,2015,21.45
Central and Southern Asia (UN),,2020,22.89
Central and Southern Asia (UN),,2022,22.89
Eastern and South-Eastern Asia (UN),,2000,19.84
Eastern and South-Eastern Asia (UN),,2005,24.35
Eastern and South-Eastern Asia (UN),,2010,28.33
Eastern and South-Eastern Asia (UN),,2015,30.76
Eastern and South-Eastern Asia (UN),,2020,34.12
Eastern and South-Eastern Asia (UN),,2022,34.12
Europe (UN),,2000,36.92
Europe (UN),,2005,48.66
Europe (UN),,2010,59.63
Europe (UN),,2015,65.23
Europe (UN),,2020,67.41
Europe (UN),,2022,67.47
Latin America and the Caribbean (UN),,2000,28.78
Latin America and the Caribbean (UN),,2005,34.04
Latin America and the Caribbean (UN),,2010,38.37
Latin America and the Caribbean (UN),,2015,40.68
Latin America and the Caribbean (UN),,2020,42.84
Latin America and the Caribbean (UN),,2022,42.99
Northern America (UN),,2000,25.13
Northern America (UN),,2005,26.68
Northern America (UN),,2010,28.69
Northern America (UN),,2015,30.41
Northern America (UN),,2020,31.45
Northern America (UN),,2022,31.45
Oceania (UN),,2000,13.76
Oceania (UN),,2005,14.64
Oceania (UN),,2010,18.02
Oceania (UN),,2015,19.03
Oceania (UN),,2020,22.47
Oceania (UN),,2022,22.49
Sub-Saharan Africa (UN),,2000,32.2
Sub-Saharan Africa (UN),,2005,35.17
Sub-Saharan Africa (UN),,2010,39.44
Sub-Saharan Africa (UN),,2015,40.16
Sub-Saharan Africa (UN),,2020,41.55
Sub-Saharan Africa (UN),,2022,41.58
World,OWID_WRL,2000,24.8
World,OWID_WRL,2005,29.99
World,OWID_WRL,2010,35.37
World,OWID_WRL,2015,38.3
World,OWID_WRL,2020,40.53
World,OWID_WRL,2022,40.59
