Entity,Code,Year,10.a.1 - Proportion of tariff lines applied to imports with zero-tariff (%) - TM_TRF_ZERO - Total or no breakdown
Central and Southern Asia (UN),,2005,32.03
Central and Southern Asia (UN),,2010,34.99
Central and Southern Asia (UN),,2016,38.28
Central and Southern Asia (UN),,2018,40.51
Central and Southern Asia (UN),,2020,41.75
Central and Southern Asia (UN),,2021,43.38
Eastern and South-Eastern Asia (UN),,2005,31.98
Eastern and South-Eastern Asia (UN),,2010,36.48
Eastern and South-Eastern Asia (UN),,2016,42.89
Eastern and South-Eastern Asia (UN),,2018,47.72
Eastern and South-Eastern Asia (UN),,2020,50.61
Eastern and South-Eastern Asia (UN),,2021,52.65
Europe (UN),,2005,40.92
Europe (UN),,2010,47.11
Europe (UN),,2016,54.71
Europe (UN),,2018,58.67
Europe (UN),,2020,60.36
Europe (UN),,2021,62.26
Latin America and the Caribbean (UN),,2005,56.38
Latin America and the Caribbean (UN),,2010,58.87
Latin America and the Caribbean (UN),,2016,63.12
Latin America and the Caribbean (UN),,2018,64.04
Latin America and the Caribbean (UN),,2020,65.1
Latin America and the Caribbean (UN),,2021,65.06
Northern Africa (UN),,2005,62.86
Northern Africa (UN),,2010,59.09
Northern Africa (UN),,2016,59.75
Northern Africa (UN),,2018,58.85
Northern Africa (UN),,2020,57.16
Northern Africa (UN),,2021,57.42
Northern America (UN),,2005,33.74
Northern America (UN),,2010,38.46
Northern America (UN),,2016,41.86
Northern America (UN),,2018,44.39
Northern America (UN),,2020,45.28
Northern America (UN),,2021,45.79
Oceania (UN),,2005,40.82
Oceania (UN),,2010,41.6
Oceania (UN),,2016,44.92
Oceania (UN),,2018,50.49
Oceania (UN),,2020,54.79
Oceania (UN),,2021,56.24
Sub-Saharan Africa (UN),,2005,47.91
Sub-Saharan Africa (UN),,2010,52.72
Sub-Saharan Africa (UN),,2016,67.03
Sub-Saharan Africa (UN),,2018,67.89
Sub-Saharan Africa (UN),,2020,64.81
Sub-Saharan Africa (UN),,2021,65.51
World,OWID_WRL,2005,39.89
World,OWID_WRL,2010,44.62
World,OWID_WRL,2016,51.03
World,OWID_WRL,2018,54.36
World,OWID_WRL,2020,55.86
World,OWID_WRL,2021,57.41
