Entity,Code,Year,Share of global food emissions
Argentina,ARG,1990,1.901567651
Argentina,ARG,1995,1.894343143
Argentina,ARG,2000,1.895505023
Argentina,ARG,2005,2.096139144
Argentina,ARG,2010,1.8917352
Argentina,ARG,2015,1.836376364
Brazil,BRA,1990,9.799575767
Brazil,BRA,1995,10.1780227
Brazil,BRA,2000,10.52960384
Brazil,BRA,2005,11.65695193
Brazil,BRA,2010,9.246890812
Brazil,BRA,2015,7.408493719
China,CHN,1990,10.37315235
China,CHN,1995,10.97104199
China,CHN,2000,10.29806691
China,CHN,2005,11.80425826
China,CHN,2010,13.04334648
China,CHN,2015,13.50262725
India,IND,1990,4.895768196
India,IND,1995,5.166073064
India,IND,2000,5.498219084
India,IND,2005,5.391330581
India,IND,2010,5.9619751
India,IND,2015,6.292091425
Indonesia,IDN,1990,10.89787871
Indonesia,IDN,1995,10.98439168
Indonesia,IDN,2000,10.12150091
Indonesia,IDN,2005,6.239563428
Indonesia,IDN,2010,5.660144085
Indonesia,IDN,2015,8.824090992
Mexico,MEX,1990,1.204933952
Mexico,MEX,1995,1.188473257
Mexico,MEX,2000,1.304917098
Mexico,MEX,2005,1.263472377
Mexico,MEX,2010,1.294319182
Mexico,MEX,2015,1.326206286
United States,USA,1990,7.439782485
United States,USA,1995,8.128708957
United States,USA,2000,8.701918586
United States,USA,2005,8.780293355
United States,USA,2010,8.54637008
United States,USA,2015,8.207463549
