Entity,Code,Year,Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number)
Angola,AGO,1990,4481
Angola,AGO,1995,5097
Angola,AGO,2000,5489
Angola,AGO,2005,6047
Angola,AGO,2010,7181
Angola,AGO,2015,8163
Angola,AGO,2019,8971
Cuba,CUB,1990,2683
Cuba,CUB,1995,2974
Cuba,CUB,2000,2992
Cuba,CUB,2005,3204
Cuba,CUB,2010,3518
Cuba,CUB,2015,4113
Cuba,CUB,2019,4365
Greece,GRC,1990,2969
Greece,GRC,1995,2961
Greece,GRC,2000,2919
Greece,GRC,2005,2924
Greece,GRC,2010,3185
Greece,GRC,2015,3745
Greece,GRC,2019,4075
Namibia,NAM,1990,470
Namibia,NAM,1995,534
Namibia,NAM,2000,658
Namibia,NAM,2005,658
Namibia,NAM,2010,647
Namibia,NAM,2015,688
Namibia,NAM,2019,729
