Entity,Code,Year,Productivity: output per hour worked,Combined - average years of education for 15-64 years male and female youth and adults,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Argentina,ARG,2019,29.42588,,44745516.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,61.438488,,25357168.0,
Austria,AUT,2019,65.15168,,8879939.0,
Bangladesh,BGD,2019,4.791032,,165516224.0,
Brazil,BRA,2019,19.195236,,211782880.0,
Cambodia,KHM,2019,3.4332101,,16207746.0,
Chile,CHL,2019,28.418756,,19039484.0,
China,CHN,2019,11.692401,,1421864064.0,
Croatia,HRV,2019,32.262863,,4129749.0,
Denmark,DNK,2019,76.00354,,5795879.0,
Europe,,2019,,,747418251.0,
Finland,FIN,2019,58.440796,,5521539.0,
France,FRA,2019,68.63126,,64399760.0,
Germany,DEU,2019,68.8512,,83148144.0,
Hong Kong,HKG,2019,49.118412,,7496121.0,
India,IND,2019,8.680879,,1383112064.0,
Ireland,IRL,2019,125.09254,,4896021.0,
Italy,ITA,2019,56.090836,,59727936.0,
Japan,JPN,2019,42.56412,,125791680.0,
Lithuania,LTU,2019,34.452484,,2849083.0,
Malaysia,MYS,2019,24.75438,,32804024.0,
Mexico,MEX,2019,20.339481,,125085312.0,
New Zealand,NZL,2019,44.547375,,4959033.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,100.325645,,5348285.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,8.772413,,223293280.0,
Philippines,PHL,2019,9.929681,,110380800.0,
Poland,POL,2019,37.07774,,38493600.0,
Portugal,PRT,2019,35.147415,,10289921.0,
Russia,RUS,2019,29.547054,,145742288.0,
Slovakia,SVK,2019,35.82719,,5453932.0,
Slovenia,SVN,2019,42.50005,,2112905.0,
South America,,2019,,,428318218.0,
Switzerland,CHE,2019,82.918655,,8575593.0,
Turkey,TUR,2019,43.692204,,83481688.0,
United Kingdom,GBR,2019,54.34881,,66778660.0,
United States,USA,2019,73.7004,,334319680.0,
Uruguay,URY,2019,28.378277,,3428412.0,
Vietnam,VNM,2019,6.739149,,95776712.0,
