Entity,Code,Year,9.2.2 - Manufacturing employment as a proportion of total employment - 13th ICLS (%) - SL_TLF_MANF
Africa (UN),,2000,7.67
Africa (UN),,2005,7.45
Africa (UN),,2010,7.16
Africa (UN),,2015,7.29
Africa (UN),,2021,7.37
Asia (UN),,2000,14.93
Asia (UN),,2005,15.32
Asia (UN),,2010,16.0
Asia (UN),,2015,16.27
Asia (UN),,2021,15.47
Europe (UN),,2000,19.6
Europe (UN),,2005,17.92
Europe (UN),,2010,15.42
Europe (UN),,2015,14.93
Europe (UN),,2021,14.85
Latin America and the Caribbean (UN),,2000,14.63
Latin America and the Caribbean (UN),,2005,13.94
Latin America and the Caribbean (UN),,2010,13.04
Latin America and the Caribbean (UN),,2015,12.58
Latin America and the Caribbean (UN),,2021,11.98
Northern America (UN),,2000,14.16
Northern America (UN),,2005,12.36
Northern America (UN),,2010,10.67
Northern America (UN),,2015,10.58
Northern America (UN),,2021,9.83
Oceania (UN),,2000,10.5
Oceania (UN),,2005,9.38
Oceania (UN),,2010,8.3
Oceania (UN),,2015,7.79
Oceania (UN),,2021,6.65
World,OWID_WRL,2000,14.61
World,OWID_WRL,2005,14.38
World,OWID_WRL,2010,14.25
World,OWID_WRL,2015,14.25
World,OWID_WRL,2021,13.57
