Entity,Code,Year,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Rate)
Bahamas,BHS,1990,8.54
Bahamas,BHS,1995,9.51
Bahamas,BHS,2000,10.64
Bahamas,BHS,2005,11.17
Bahamas,BHS,2010,12.77
Bahamas,BHS,2015,14.4
Bahamas,BHS,2019,16.16
Niue,NIU,1990,31.07
Niue,NIU,1995,28.05
Niue,NIU,2000,26.85
Niue,NIU,2005,28.36
Niue,NIU,2010,28.9
Niue,NIU,2015,29.03
Niue,NIU,2019,29.57
Vanuatu,VUT,1990,4.36
Vanuatu,VUT,1995,4.57
Vanuatu,VUT,2000,4.53
Vanuatu,VUT,2005,4.44
Vanuatu,VUT,2010,4.97
Vanuatu,VUT,2015,5.8
Vanuatu,VUT,2019,6.54
