Entity,Code,Year,The totalpopulation using at least basic drinking water services
Africa (WHO),,2000,315838050.0
Africa (WHO),,2005,390359300.0
Africa (WHO),,2010,483616500.0
Africa (WHO),,2015,602089340.0
Africa (WHO),,2020,733277900.0
Africa (WHO),,2022,788877400.0
Georgia,GEO,2000,4033171.5
Georgia,GEO,2005,3773840.0
Georgia,GEO,2010,3651406.0
Georgia,GEO,2015,3525376.8
Georgia,GEO,2020,3565268.0
Georgia,GEO,2022,3556324.8
Kenya,KEN,2000,14661160.0
Kenya,KEN,2005,18331224.0
Kenya,KEN,2010,22700934.0
Kenya,KEN,2015,27239998.0
Kenya,KEN,2020,31987822.0
Kenya,KEN,2022,33962640.0
North Korea,PRK,2000,23204176.0
North Korea,PRK,2005,23827550.0
North Korea,PRK,2010,23949346.0
North Korea,PRK,2015,24049390.0
North Korea,PRK,2020,24275026.0
North Korea,PRK,2022,24475924.0
