Entity,Code,Year,"Number of one-year-olds not vaccinated with DTP containing vaccine, 3rd dose"
Gabon,GAB,1985,15413
Gabon,GAB,1990,7406
Gabon,GAB,1995,10903
Gabon,GAB,2000,21281
Gabon,GAB,2005,23849
Gabon,GAB,2010,16799
Gabon,GAB,2015,11857
Gabon,GAB,2021,15372
Greece,GRC,1980,40749
Greece,GRC,1985,58366
Greece,GRC,1990,49942
Greece,GRC,1995,10867
Greece,GRC,2000,11622
Greece,GRC,2005,4215
Greece,GRC,2010,1122
Greece,GRC,2015,928
Greece,GRC,2021,834
Mongolia,MNG,1980,13502
Mongolia,MNG,1985,12639
Mongolia,MNG,1990,10970
Mongolia,MNG,1995,6834
Mongolia,MNG,2000,3011
Mongolia,MNG,2005,483
Mongolia,MNG,2010,2544
Mongolia,MNG,2015,737
Mongolia,MNG,2021,3715
