Entity,Code,Year,"3.9.3 - Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population) - SH_STA_POISN - Both sexes"
Bosnia and Herzegovina,BIH,2000,0.7
Bosnia and Herzegovina,BIH,2005,0.5
Bosnia and Herzegovina,BIH,2010,0.4
Bosnia and Herzegovina,BIH,2015,0.4
Bosnia and Herzegovina,BIH,2019,0.4
Spain,ESP,2000,0.4
Spain,ESP,2005,0.6
Spain,ESP,2010,0.5
Spain,ESP,2015,0.3
Spain,ESP,2019,0.4
Turkey,TUR,2000,0.8
Turkey,TUR,2005,0.5
Turkey,TUR,2010,0.4
Turkey,TUR,2015,0.4
Turkey,TUR,2019,0.4
