Entity,Code,Year,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",GDP per capita (constant 2015 US$),Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,19430.25,4153.005,42705372.0,
Argentina,ARG,2019,2758230.5,12716.225,44745516.0,
Asia,,2019,,,4627738749.0,
Azerbaijan,AZE,2019,2251.1194,5348.265,10232761.0,
Bangladesh,BGD,2019,1284.1656,1557.9653,165516224.0,
Burkina Faso,BFA,2019,1707.6805,716.0122,20951638.0,
Burundi,BDI,2019,234.09279,270.13727,11874838.0,
Chile,CHL,2019,11936.927,13765.118,19039484.0,
Colombia,COL,2019,5278.1914,6403.877,50187404.0,
Comoros,COM,2019,4303.6646,1381.6222,790993.0,
Czechia,CZE,2019,32342.076,20206.426,10536876.0,
Democratic Republic of Congo,COD,2019,416.81638,494.8192,89906896.0,
Djibouti,DJI,2019,462.11353,2820.0627,1073999.0,
Egypt,EGY,2019,7679.669,3768.6274,105618672.0,
Equatorial Guinea,GNQ,2019,1217.7921,6472.071,1553037.0,
Europe,,2019,,,747418251.0,
European Union (27),,2019,25475.68,33011.438,445027038.0,
Greece,GRC,2019,17729.969,19018.902,10574026.0,
Guyana,GUY,2019,28162.854,6348.698,798761.0,
High-income countries,,2019,40413.55,42388.6,1214846354.0,
Iran,IRN,2019,10738.993,5017.117,86564208.0,
Iraq,IRQ,2019,5492.5103,4854.3867,41563524.0,
Israel,ISR,2019,102158.59,39591.367,8607922.0,
Japan,JPN,2019,17763.227,36081.066,125791680.0,
Jordan,JOR,2019,35860.137,3916.0168,10698682.0,
Kuwait,KWT,2019,15112.492,25773.457,4441105.0,
Laos,LAO,2019,1184.2189,2564.0198,7212058.0,
Lesotho,LSO,2019,305.0869,1074.6226,2225710.0,
Low-income countries,,2019,824.23615,786.9732,661633048.0,
Lower-middle-income countries,,2019,2524.8062,2384.713,3326051409.0,
Niger,NER,2019,709.9216,520.9194,23443400.0,
Nigeria,NGA,2019,5591.1997,2505.4626,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,2634.472,1452.8516,223293280.0,
Qatar,QAT,2019,16455.006,59672.64,2807242.0,
Romania,ROU,2019,5016.8887,11252.793,19524212.0,
Russia,RUS,2019,14201.445,9958.461,145742288.0,
Rwanda,RWA,2019,633.8604,871.27954,12835029.0,
South America,,2019,,,428318218.0,
Suriname,SUR,2019,22482.434,8756.069,600305.0,
United Kingdom,GBR,2019,55829.363,47491.594,66778660.0,
United States,USA,2019,100061.65,60698.01,334319680.0,
Upper-middle-income countries,,2019,6041.2666,9484.901,2530546049.0,
Vietnam,VNM,2019,1734.9376,3288.353,95776712.0,
