Entity,Code,Year,Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data),GDP per capita,417485-annotations,Population (historical estimates),Continent
Africa,,2014,24.25814,,,1170299297.0,
Africa,,1945,,,,208776384.0,
Albania,ALB,2014,17.61166,9808.0,,2884100.0,
Albania,ALB,1945,,,,1167887.0,
Argentina,ARG,1945,11.83266,6943.0,,15474655.0,
Argentina,ARG,2014,13.49257,19183.0,,42824064.0,
Asia,,2014,28.77137,,,4412496398.0,
Asia,,1945,,,,1326239826.0,
Brazil,BRA,1945,10.89064,1792.0,,47230706.0,
Brazil,BRA,2014,9.97679,15258.0,,203459648.0,
Burkina Faso,BFA,2014,19.41291,1437.0,,18169844.0,
Burkina Faso,BFA,1945,,,,3897713.0,
China,CHN,2014,22.88893,11944.0,,1385189632.0,
China,CHN,1945,,,,525143778.0,
Congo,COG,2014,73.4088,6321.0,,4944865.0,
Congo,COG,1945,,,,762079.0,
Costa Rica,CRI,2014,65.83615,13222.0,,4844293.0,
Costa Rica,CRI,1945,,2573.0,,800613.0,
Cuba,CUB,1945,38.6064,2275.0,,5279214.0,
Cuba,CUB,2014,,7628.0,,11332030.0,
Democratic Republic of Congo,COD,2014,20.82912,802.0,,76035592.0,
Democratic Republic of Congo,COD,1945,,,,11291347.0,
Dominican Republic,DOM,2014,16.43839,13017.0,,10282116.0,
Dominican Republic,DOM,1945,,,,2011881.0,
El Salvador,SLV,2014,21.38104,7935.0,,6209528.0,
El Salvador,SLV,1945,,1741.0,,1986714.0,
Ethiopia,ETH,2014,4.67626,1459.0,,99746768.0,
Ethiopia,ETH,1945,,,,17476313.0,
Europe,,1945,,,,537405457.0,
Europe,,2014,,,,742190861.0,
France,FRA,1945,1.03409,4101.0,,40952105.0,
France,FRA,2014,21.14246,36527.0,,63588496.0,
Greece,GRC,2014,14.93454,22344.0,,10862972.0,
Greece,GRC,1945,,1495.0,,7496655.0,
Haiti,HTI,1945,5.72189,1780.0,,3050311.0,
Haiti,HTI,2014,12.37848,1749.0,,10412741.0,
India,IND,2014,15.36388,5458.0,,1307246464.0,
India,IND,1945,,1058.0,,364746467.0,
Indonesia,IDN,2014,21.86463,10090.0,,256229760.0,
Indonesia,IDN,1945,,,,64894598.0,
Ireland,IRL,2014,57.73145,52651.0,,4622165.0,
Ireland,IRL,1945,,4812.0,,2912306.0,
Italy,ITA,2014,24.38555,32829.0,,60322792.0,
Italy,ITA,1945,,2831.0,,45001776.0,
Japan,JPN,1945,1.29609,3677.67,,78819521.0,
Japan,JPN,2014,15.60331,36537.0,,127476728.0,
Liberia,LBR,2014,48.32191,884.0,,4519410.0,
Liberia,LBR,1945,,,,834319.0,
Mexico,MEX,1945,6.18497,3009.0,,23398651.0,
Mexico,MEX,2014,31.5449,15856.0,,118755888.0,
Myanmar,MMR,2014,37.46368,4728.0,,51072436.0,
Myanmar,MMR,1945,,,,16364542.0,
Netherlands,NLD,2014,74.74475,44205.0,,16954080.0,
Netherlands,NLD,1945,,4281.0,,9459164.0,
Nicaragua,NIC,2014,48.11813,4685.0,,6208680.0,
Nicaragua,NIC,1945,,2259.0,,1154785.0,
Nigeria,NGA,2014,17.6385,5569.0,,179379024.0,
Nigeria,NGA,1945,,,,33926266.0,
North America,,1945,,,,195674642.0,
North America,,2014,,,,565486685.0,
Norway,NOR,1945,3.98659,6344.0,,3131436.0,
Norway,NOR,2014,28.28344,82216.0,,5137926.0,
Oceania,,2014,17.51275,,,39729340.0,
Oceania,,1945,,,,11180194.0,
Pakistan,PAK,2014,11.67527,4850.0,,208251632.0,
Pakistan,PAK,1945,,,,34275132.0,
Portugal,PRT,1945,8.90617,2876.0,,8038503.0,
Portugal,PRT,2014,27.60749,24423.0,,10408379.0,
Romania,ROU,2014,34.4442,18515.0,,19995836.0,
Romania,ROU,1945,,383.0,,16095216.0,
Saudi Arabia,SAU,2014,46.39317,50693.0,,32125570.0,
Saudi Arabia,SAU,1945,,,,2931724.0,
South America,,1945,,,,100891266.0,
South America,,2014,,,,409128901.0,
South Korea,KOR,2014,41.86828,34493.0,,50558044.0,
South Korea,KOR,1945,,,,17532227.0,
Spain,ESP,1945,3.68404,3357.0,,26888200.0,
Spain,ESP,2014,22.93965,30819.0,,46464548.0,
Sri Lanka,LKA,2014,13.61733,10342.0,,21239448.0,
Sri Lanka,LKA,1945,,1779.0,,7139430.0,
Tanzania,TZA,2014,8.51039,2467.0,,50814552.0,
Tanzania,TZA,1945,,,,6939291.0,
Turkey,TUR,2014,20.30414,19277.0,,78112064.0,
Turkey,TUR,1945,,1452.0,,19126328.0,
Uganda,UGA,2014,8.40757,1923.0,,36336544.0,
Uganda,UGA,1945,,,,5228608.0,
United Kingdom,GBR,1945,4.38535,11247.0,,49081483.0,
United Kingdom,GBR,2014,15.44732,36436.0,,64773504.0,
United States,USA,1945,4.20026,16477.553,,138111665.0,
United States,USA,2014,9.34098,51664.0,,322033952.0,
Uruguay,URY,1945,33.68192,5418.0,,2110016.0,
Uruguay,URY,2014,19.99958,19160.0,,3391660.0,
Vietnam,VNM,2014,85.94508,5455.0,,91235504.0,
Vietnam,VNM,1945,,,,21814974.0,
Zambia,ZMB,2014,35.72301,3478.0,,15737796.0,
Zambia,ZMB,1945,,,,2109530.0,
Zimbabwe,ZWE,1945,31.70732,,,2519116.0,
Zimbabwe,ZWE,2014,24.21653,1594.0,,13855758.0,
