Entity,Code,Year,Area used for production
Cereals,,1961,647997200
Cereals,,1970,675463550
Cereals,,1980,717193860
Cereals,,1990,707684900
Cereals,,2000,671488830
Cereals,,2010,694313800
Cereals,,2021,739419300
Citrus Fruit,,1961,2286100
Citrus Fruit,,1970,3083271
Citrus Fruit,,1980,4143937
Citrus Fruit,,1990,6074443
Citrus Fruit,,2000,7454500
Citrus Fruit,,2010,9071485
Citrus Fruit,,2021,10222415
Coarse Grain,,1961,328422620
Coarse Grain,,1970,334611330
Coarse Grain,,1980,335529600
Coarse Grain,,1990,329972400
Coarse Grain,,2000,302357760
Coarse Grain,,2010,317877060
Coarse Grain,,2021,353409000
Fruit,,1961,27207684
Fruit,,1970,31172700
Fruit,,1980,35431970
Fruit,,1990,44144516
Fruit,,2000,53417704
Fruit,,2010,60664588
Fruit,,2021,66482016
Jute,,1961,1898762
Jute,,1970,1869665
Jute,,1980,1927632
Jute,,1990,1589506
Jute,,2000,1377796
Jute,,2010,1225305
Jute,,2021,1363283
"Oilcrops, Oil Equivalent",,2000,223747840
"Oilcrops, Oil Equivalent",,2010,275227420
"Oilcrops, Oil Equivalent",,2021,337541860
Pulses,,1961,64011450
Pulses,,1970,64382344
Pulses,,1980,61282500
Pulses,,1990,68836400
Pulses,,2000,66264830
Pulses,,2010,79629420
Pulses,,2021,95438850
Roots and tubers,,1961,47587776
Roots and tubers,,1970,48164748
Roots and tubers,,1980,45910944
Roots and tubers,,1990,46085836
Roots and tubers,,2000,52621920
Roots and tubers,,2010,54611668
Roots and tubers,,2021,66410260
Treenuts,,1961,1895615
Treenuts,,1970,2564722
Treenuts,,1980,3137486
Treenuts,,1990,4992618
Treenuts,,2000,7337502
Treenuts,,2010,10119969
Treenuts,,2021,13319146
Vegetables,,1961,21151900
Vegetables,,1970,20354660
Vegetables,,1980,23148280
Vegetables,,1990,28812064
Vegetables,,2000,41738430
Vegetables,,2010,50716260
Vegetables,,2021,58034370
