Entity,Code,Year,All staff compensation as % of total expenditure in primary public institutions (%),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,,2079.9219,37769496.0,
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,,11627.28,42705372.0,
Argentina,ARG,2019,,22071.748,44745516.0,
Armenia,ARM,2019,,14317.553,2820604.0,
Aruba,ABW,2019,,40780.516,106458.0,
Asia,,2019,,,4627738749.0,
Belgium,BEL,2019,,51977.184,11510569.0,
Brunei,BRN,2019,,61424.363,438058.0,
Bulgaria,BGR,2019,,23270.225,7052536.0,
Canada,CAN,2019,,49171.51,37522584.0,
Chile,CHL,2019,,24816.611,19039484.0,
Cote d'Ivoire,CIV,2019,,5126.6343,26147544.0,
Czechia,CZE,2019,,40989.727,10536876.0,
East Timor,TLS,2019,,3737.7964,1280442.0,
Estonia,EST,2019,,36153.434,1327039.0,
Ethiopia,ETH,2019,,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Finland,FIN,2019,,48583.434,5521539.0,
Ghana,GHA,2019,,5345.9414,31522294.0,
Greece,GRC,2019,,29721.586,10574026.0,
Indonesia,IDN,2019,,11857.789,269582880.0,
Iran,IRN,2019,,14084.354,86564208.0,
Ireland,IRL,2019,,86681.27,4896021.0,
Israel,ISR,2019,,40810.055,8607922.0,
Japan,JPN,2019,,41697.41,125791680.0,
Luxembourg,LUX,2019,,114542.5,619981.0,
Maldives,MDV,2019,68.0873,20574.404,504518.0,
Malta,MLT,2019,,45433.918,503646.0,
Mexico,MEX,2019,,20064.5,125085312.0,
Myanmar,MMR,2019,67.08466,4829.5366,53040212.0,
Netherlands,NLD,2019,,56784.04,17363260.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Oman,OMN,2019,,33814.113,4602769.0,
Peru,PER,2019,69.43533,12735.168,32824864.0,
Poland,POL,2019,,33159.75,38493600.0,
Puerto Rico,PRI,2019,,34792.656,3292888.0,
San Marino,SMR,2019,,60076.01,34203.0,
Seychelles,SYC,2019,,29369.53,104386.0,
Sierra Leone,SLE,2019,42.43178,1655.6852,8046830.0,
Slovakia,SVK,2019,,31973.46,5453932.0,
South America,,2019,,,428318218.0,
Sri Lanka,LKA,2019,,13639.021,21649664.0,
Sweden,SWE,2019,,52850.57,10267922.0,
Thailand,THA,2019,,18003.672,71307768.0,
Uganda,UGA,2019,,2250.015,42949076.0,
United States,USA,2019,,62478.254,334319680.0,
