Entity,Code,Year,New HIV Infections averted due to PMTCT - Disaggregation: estimate
Botswana,BWA,1990,0
Botswana,BWA,1995,0
Botswana,BWA,2000,342
Botswana,BWA,2005,2648
Botswana,BWA,2010,2495
Botswana,BWA,2015,2138
Botswana,BWA,2020,2691
Botswana,BWA,2022,2180
Chad,TCD,1990,0
Chad,TCD,1995,0
Chad,TCD,2000,0
Chad,TCD,2005,0
Chad,TCD,2010,464
Chad,TCD,2015,1093
Chad,TCD,2020,1406
Chad,TCD,2022,1196
Eswatini,SWZ,1990,0
Eswatini,SWZ,1995,0
Eswatini,SWZ,2000,0
Eswatini,SWZ,2005,180
Eswatini,SWZ,2010,1963
Eswatini,SWZ,2015,2084
Eswatini,SWZ,2020,1845
Eswatini,SWZ,2022,1802
"Ethiopia, Afar",,1990,0
"Ethiopia, Afar",,1995,0
"Ethiopia, Afar",,2000,0
"Ethiopia, Afar",,2005,0
"Ethiopia, Afar",,2010,38
"Ethiopia, Afar",,2015,109
"Ethiopia, Afar",,2020,115
"Ethiopia, Afar",,2022,47
Guatemala,GTM,1990,0
Guatemala,GTM,1995,0
Guatemala,GTM,2000,7
Guatemala,GTM,2005,15
Guatemala,GTM,2010,84
Guatemala,GTM,2015,60
Guatemala,GTM,2020,74
Guatemala,GTM,2022,90
Malawi,MWI,1990,0
Malawi,MWI,1995,0
Malawi,MWI,2000,0
Malawi,MWI,2005,536
Malawi,MWI,2010,4693
Malawi,MWI,2015,9665
Malawi,MWI,2020,10167
Malawi,MWI,2022,7685
Vietnam,VNM,1990,0
Vietnam,VNM,1995,0
Vietnam,VNM,2000,0
Vietnam,VNM,2005,98
Vietnam,VNM,2010,460
Vietnam,VNM,2015,416
Vietnam,VNM,2020,464
Vietnam,VNM,2022,317
