Entity,Code,Year,"Railways, passengers carried (million passenger-km)"
Bangladesh,BGD,1995,4037000000.0
Bangladesh,BGD,2000,3940700000.0
Bangladesh,BGD,2005,4164100000.000001
Bangladesh,BGD,2010,7304000000.0
Bangladesh,BGD,2015,8711000000.0
Belarus,BLR,1995,12505000000.0
Belarus,BLR,2000,17722000000.0
Belarus,BLR,2005,10351000000.0
Belarus,BLR,2010,7578000000.0
Belarus,BLR,2015,7117000000.0
Belarus,BLR,2018,6215000000.0
Belgium,BEL,1995,6757000000.0
Belgium,BEL,2000,7755000000.0
Belgium,BEL,2005,9150000000.0
Belgium,BEL,2010,10403000000.0
Belgium,BEL,2015,10333000000.0
China,CHN,1995,354570000000.0
China,CHN,2000,453259000000.0
China,CHN,2005,606196000000.0
China,CHN,2010,876218000000.0
China,CHN,2015,1196060000000.0
Norway,NOR,1995,2681000000.0
Norway,NOR,2000,3353000000.0
Norway,NOR,2005,3203000000.0
Norway,NOR,2010,3683000000.0
Norway,NOR,2015,4318000000.0
Syria,SYR,1995,492000000.0
Syria,SYR,2000,196000000.0
Syria,SYR,2005,571230000.0
Syria,SYR,2010,1857435000.0
United Kingdom,GBR,1995,37200000000.0
United Kingdom,GBR,2000,46506215000.0
United Kingdom,GBR,2005,51363240000.0
United Kingdom,GBR,2010,63505008000.0
United Kingdom,GBR,2015,76787836000.0
United Kingdom,GBR,2018,80526375000.0
United States,USA,1995,22079197000.0
United States,USA,2000,25977281000.0
United States,USA,2005,25393592000.0
United States,USA,2010,31871672000.0
United States,USA,2015,36043875000.0
United States,USA,2018,31962707000.0
