Entity,Code,Year,Prevalence of anemia among women of reproductive age (% of women ages 15-49)
Australia,AUS,2000,8.0
Australia,AUS,2005,7.5
Australia,AUS,2010,7.3
Australia,AUS,2015,7.6
Australia,AUS,2019,8.5
Burkina Faso,BFA,2000,56.4
Burkina Faso,BFA,2005,54.9
Burkina Faso,BFA,2010,53.5
Burkina Faso,BFA,2015,53.1
Burkina Faso,BFA,2019,52.5
Honduras,HND,2000,21.5
Honduras,HND,2005,18.4
Honduras,HND,2010,16.8
Honduras,HND,2015,16.9
Honduras,HND,2019,18.0
Kuwait,KWT,2000,24.1
Kuwait,KWT,2005,21.2
Kuwait,KWT,2010,20.4
Kuwait,KWT,2015,22.4
Kuwait,KWT,2019,23.7
Latin America and Caribbean (WB),,2000,25.634573
Latin America and Caribbean (WB),,2005,22.829565
Latin America and Caribbean (WB),,2010,19.307936
Latin America and Caribbean (WB),,2015,17.34014
Latin America and Caribbean (WB),,2019,17.252317
Moldova,MDA,2000,29.0
Moldova,MDA,2005,26.9
Moldova,MDA,2010,26.0
Moldova,MDA,2015,25.9
Moldova,MDA,2019,26.1
New Zealand,NZL,2000,8.1
New Zealand,NZL,2005,8.2
New Zealand,NZL,2010,8.5
New Zealand,NZL,2015,9.3
New Zealand,NZL,2019,10.4
Slovakia,SVK,2000,22.4
Slovakia,SVK,2005,22.1
Slovakia,SVK,2010,22.0
Slovakia,SVK,2015,22.9
Slovakia,SVK,2019,23.5
