Entity,Code,Year,Total economic damage from natural disasters
All disasters,,1980,32768708000
All disasters,,1982,8501393000
All disasters,,1984,9356342000
All disasters,,1986,14101728000
All disasters,,1988,26314557000
All disasters,,1990,49390722000
All disasters,,1992,55098163000
All disasters,,1994,71012574000
All disasters,,1996,43318743000
All disasters,,1998,86426090000
All disasters,,2000,46576436000
All disasters,,2002,51617152000
All disasters,,2004,136378448000
All disasters,,2006,33104949000
All disasters,,2008,190871247000
All disasters,,2010,132194096000
All disasters,,2012,156751432000
All disasters,,2014,98201314000
All disasters,,2016,185977521000
All disasters,,2018,133588222000
All disasters,,2020,174618447000
All disasters,,2023,93897287000
