Entity,Code,Year,"Deaths that are from all causes attributed to household air pollution from solid fuels per 100,000 people, in both sexes aged age-standardized","Deaths that are from all causes attributed to ambient particulate matter pollution per 100,000 people, in both sexes aged age-standardized",Continent
Afghanistan,AFG,2019,179.45535,56.89574,
African Region (WHO),,2019,103.338715,43.871365,
Albania,ALB,2019,17.543667,36.928265,
Algeria,DZA,2019,0.23338939,76.5304,
American Samoa,ASM,2019,13.066006,17.320436,
Andorra,AND,2019,0.015843427,7.169167,
Angola,AGO,2019,68.38518,45.035427,
Azerbaijan,AZE,2019,9.386765,108.391365,
Bangladesh,BGD,2019,79.25479,61.780968,
Belarus,BLR,2019,0.5948644,52.362114,
Benin,BEN,2019,143.48445,35.01735,
Bolivia,BOL,2019,27.759039,47.557804,
Bosnia and Herzegovina,BIH,2019,20.105274,63.117626,
Botswana,BWA,2019,50.056385,73.5221,
Burkina Faso,BFA,2019,175.1003,25.505058,
Central African Republic,CAF,2019,251.24039,34.249683,
Chad,TCD,2019,195.55023,28.4676,
Comoros,COM,2019,113.36182,19.359491,
Cote d'Ivoire,CIV,2019,118.36305,51.607243,
Eastern Mediterranean Region (WHO),,2019,40.670883,96.3449,
Egypt,EGY,2019,0.12717682,157.46751,
Eritrea,ERI,2019,139.669,49.013115,
Ethiopia,ETH,2019,129.95076,18.908281,
Fiji,FJI,2019,44.900414,48.40943,
Ghana,GHA,2019,69.71187,79.77846,
Guatemala,GTM,2019,50.188416,35.290676,
Guinea-Bissau,GNB,2019,198.90402,44.226437,
Honduras,HND,2019,69.95348,32.3289,
India,IND,2019,59.58832,95.63995,
Indonesia,IDN,2019,40.952076,55.955513,
Iran,IRN,2019,0.14452758,63.125427,
Iraq,IRQ,2019,0.30527654,121.61964,
Kenya,KEN,2019,97.86996,25.329508,
Lesotho,LSO,2019,133.44032,67.92253,
Liberia,LBR,2019,122.113075,30.409462,
Mali,MLI,2019,156.12474,23.756763,
Mauritius,MUS,2019,0.8767165,36.98925,
Morocco,MAR,2019,6.058519,97.39308,
Namibia,NAM,2019,56.274113,57.479755,
Nepal,NPL,2019,113.24512,93.91318,
North Korea,PRK,2019,107.27122,72.51151,
Oman,OMN,2019,0.50651383,127.02209,
Pakistan,PAK,2019,92.62799,94.42075,
Papua New Guinea,PNG,2019,229.51721,24.617533,
Solomon Islands,SLB,2019,397.25952,35.650257,
Somalia,SOM,2019,272.01663,7.7685437,
Tajikistan,TJK,2019,63.41456,115.84625,
Tonga,TON,2019,39.133133,26.114553,
Uzbekistan,UZB,2019,21.37508,176.44565,
