Entity,Code,Year,Important in life: Leisure time,Continent
Chile,CHL,2022,92.66489,
Colombia,COL,2022,87.43421,
Croatia,HRV,2022,91.18842,
Cyprus,CYP,2022,86.54135,
Egypt,EGY,2022,54.66667,
Estonia,EST,2022,89.98059,
Finland,FIN,2022,93.57185,
Iceland,ISL,2022,91.9976,
Iraq,IRQ,2022,75.58334,
Kenya,KEN,2022,78.594,
Libya,LBY,2022,69.84924,
Mexico,MEX,2022,85.14845,
Mongolia,MNG,2022,83.0272,
Slovenia,SVN,2022,89.27895,
Sweden,SWE,2022,96.02135,
Switzerland,CHE,2022,90.78873,
Tunisia,TUN,2022,80.04967,
Zimbabwe,ZWE,2022,80.57613,
