Entity,Code,Year,Deaths in under-fives
Lebanon,LBN,1950,8781
Lebanon,LBN,1960,7260
Lebanon,LBN,1970,6316
Lebanon,LBN,1980,5069
Lebanon,LBN,1990,3606
Lebanon,LBN,2000,1918
Lebanon,LBN,2010,1358
Lebanon,LBN,2019,983
Saint Kitts and Nevis,KNA,1950,242
Saint Kitts and Nevis,KNA,1960,262
Saint Kitts and Nevis,KNA,1970,82
Saint Kitts and Nevis,KNA,1980,66
Saint Kitts and Nevis,KNA,1990,31
Saint Kitts and Nevis,KNA,2000,19
Saint Kitts and Nevis,KNA,2010,13
Saint Kitts and Nevis,KNA,2019,11
Tunisia,TUN,1950,55881
Tunisia,TUN,1960,44943
Tunisia,TUN,1970,32255
Tunisia,TUN,1980,21750
Tunisia,TUN,1990,12337
Tunisia,TUN,2000,6142
Tunisia,TUN,2010,3757
Tunisia,TUN,2019,1923
