Entity,Code,Year,military_personnel
China,CHN,1900,1000000
China,CHN,1950,4000000
China,CHN,2000,2810000
China,CHN,2016,2333000
France,FRA,1816,132000
France,FRA,1850,439000
France,FRA,1900,621000
France,FRA,1950,595000
France,FRA,2000,294000
France,FRA,2016,209000
India,IND,1950,341000
India,IND,2000,1303000
India,IND,2016,1346000
Japan,JPN,1900,182000
Japan,JPN,2000,237000
Japan,JPN,2016,247000
Russia,RUS,1816,800000
Russia,RUS,1850,871000
Russia,RUS,1900,1142000
Russia,RUS,1950,4300000
Russia,RUS,2000,1004000
Russia,RUS,2016,798000
United Kingdom,GBR,1816,255000
United Kingdom,GBR,1850,201000
United Kingdom,GBR,1900,487000
United Kingdom,GBR,1950,689000
United Kingdom,GBR,2000,212000
United Kingdom,GBR,2016,155000
United States,USA,1816,17000
United States,USA,1850,21000
United States,USA,1900,126000
United States,USA,1950,1460000
United States,USA,2000,1366000
United States,USA,2016,1381000
