Entity,Code,Year,"Military expenditure as a share of GDP (OWID calculated based on NMC, COW & SIPRI (2017))"
China,CHN,1900,1.2547387
China,CHN,1960,11.336885
China,CHN,1980,15.005646
China,CHN,2000,3.4801052
China,CHN,2016,1.9229624
France,FRA,1827,2.4423275
France,FRA,1840,3.4566326
France,FRA,1860,3.1274629
France,FRA,1880,3.2655141
France,FRA,1900,3.1133776
France,FRA,1920,2.9359441
France,FRA,1940,73.774048
France,FRA,1960,6.203506
France,FRA,1980,3.7505744
France,FRA,2000,2.4851594
France,FRA,2016,2.2615852
Germany,DEU,1880,2.2568653
Germany,DEU,1900,2.3155622
Germany,DEU,1920,0.52396464
Germany,DEU,1940,44.193504
Germany,DEU,2000,1.4301361
Germany,DEU,2016,1.184881
Russia,RUS,1900,3.6899099
Russia,RUS,1920,32.183701
Russia,RUS,1940,11.153723
Russia,RUS,1960,18.532383
Russia,RUS,1980,21.351622
Russia,RUS,2000,19.995914
Russia,RUS,2016,5.3981905
United Kingdom,GBR,1827,2.8163221
United Kingdom,GBR,1840,2.02054
United Kingdom,GBR,1860,3.5425525
United Kingdom,GBR,1880,1.7609196
United Kingdom,GBR,1900,6.3441381
United Kingdom,GBR,1920,6.7501893
United Kingdom,GBR,1940,36.126053
United Kingdom,GBR,1960,6.3887744
United Kingdom,GBR,1980,4.7293134
United Kingdom,GBR,2000,2.2901804
United Kingdom,GBR,2016,1.8437858
United States,USA,1827,0.89610177
United States,USA,1840,0.87515885
United States,USA,1860,0.78045601
United States,USA,1880,0.52858329
United States,USA,1900,0.97156817
United States,USA,1920,1.8596381
United States,USA,1940,1.6087053
United States,USA,1960,8.3303432
United States,USA,1980,5.0231819
United States,USA,2000,2.9421968
United States,USA,2016,3.2914166
