Entity,Code,Year,Population in the largest city (% of urban population)
Bangladesh,BGD,1960,19.627089
Bangladesh,BGD,1970,26.786207
Bangladesh,BGD,1980,26.199902
Bangladesh,BGD,1990,31.189949
Bangladesh,BGD,2000,33.74691
Bangladesh,BGD,2010,32.587585
Bangladesh,BGD,2021,32.962276
India,IND,1960,7.3939643
India,IND,1970,6.6532516
India,IND,1980,5.7156553
India,IND,1990,5.5559855
India,IND,2000,5.507586
India,IND,2010,5.730166
India,IND,2021,6.25907
Libya,LBY,1960,44.686134
Libya,LBY,1970,42.01688
Libya,LBY,1980,31.882435
Libya,LBY,1990,26.876287
Libya,LBY,2000,25.94603
Libya,LBY,2010,21.612823
Libya,LBY,2021,21.443695
United Kingdom,GBR,1960,19.938786
United Kingdom,GBR,1970,17.493908
United Kingdom,GBR,1980,15.275596
United Kingdom,GBR,1990,15.188697
United Kingdom,GBR,2000,15.701403
United Kingdom,GBR,2010,15.7640295
United Kingdom,GBR,2021,16.63639
Zambia,ZMB,1960,17.484863
Zambia,ZMB,1970,21.355644
Zambia,ZMB,1980,23.396553
Zambia,ZMB,1990,25.006207
Zambia,ZMB,2000,31.179588
Zambia,ZMB,2010,31.741318
Zambia,ZMB,2021,33.02154
