Entity,Code,Year,"Deaths that are from all causes attributed to ambient particulate matter pollution per 100,000 people, in both sexes aged all ages"
Cape Verde,CPV,1990,17.718758
Cape Verde,CPV,1995,20.522581
Cape Verde,CPV,2000,27.278667
Cape Verde,CPV,2005,28.688543
Cape Verde,CPV,2010,26.097347
Cape Verde,CPV,2015,44.43377
Cape Verde,CPV,2019,56.51592
Democratic Republic of Congo,COD,1990,14.183879
Democratic Republic of Congo,COD,1995,14.022161
Democratic Republic of Congo,COD,2000,12.409283
Democratic Republic of Congo,COD,2005,9.701155
Democratic Republic of Congo,COD,2010,9.486309
Democratic Republic of Congo,COD,2015,12.50857
Democratic Republic of Congo,COD,2019,12.615295
Saint Vincent and the Grenadines,VCT,1990,26.232231
Saint Vincent and the Grenadines,VCT,1995,33.108856
Saint Vincent and the Grenadines,VCT,2000,38.007725
Saint Vincent and the Grenadines,VCT,2005,36.618687
Saint Vincent and the Grenadines,VCT,2010,41.954414
Saint Vincent and the Grenadines,VCT,2015,52.582695
Saint Vincent and the Grenadines,VCT,2019,54.93743
Singapore,SGP,1990,37.32612
Singapore,SGP,1995,29.131868
Singapore,SGP,2000,24.92622
Singapore,SGP,2005,20.580328
Singapore,SGP,2010,17.095568
Singapore,SGP,2015,20.608404
Singapore,SGP,2019,23.484655
Thailand,THA,1990,25.91439
Thailand,THA,1995,31.952332
Thailand,THA,2000,36.401203
Thailand,THA,2005,37.906956
Thailand,THA,2010,41.107304
Thailand,THA,2015,39.210655
Thailand,THA,2019,45.942436
