Entity,Code,Year,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)
Democratic Republic of Congo,COD,2000,0.0
Democratic Republic of Congo,COD,2005,9.0
Democratic Republic of Congo,COD,2010,6.0
Democratic Republic of Congo,COD,2015,48.0
Democratic Republic of Congo,COD,2021,61.0
Latvia,LVA,2000,92.0
Latvia,LVA,2005,79.0
Latvia,LVA,2010,71.0
Latvia,LVA,2015,83.0
Middle East and North Africa (WB),,2000,0.116395496
Tajikistan,TJK,2000,0.0
Tajikistan,TJK,2005,0.0
Tajikistan,TJK,2010,18.0
Tajikistan,TJK,2015,53.0
Tajikistan,TJK,2021,77.0
