Entity,Code,Year,democracy_eiu,Population (historical estimates),region
Afghanistan,AFG,2021,0.32,40099460.0,Asia
Africa,,2021,4.0716,1393676724.0,World
Asia,,2021,4.236808510638298,4693332132.0,World
Bangladesh,BGD,2021,5.99,169356240.0,Asia
Brazil,BRA,2021,6.86,214326224.0,South America
China,CHN,2021,2.21,1425893504.0,Asia
Egypt,EGY,2021,2.93,109262184.0,Africa
Europe,,2021,7.3185,746417727.0,World
Guinea,GIN,2021,2.28,13531909.0,Africa
India,IND,2021,6.91,1407563904.0,Asia
Indonesia,IDN,2021,6.71,273753184.0,Asia
Japan,JPN,2021,8.15,124612528.0,Asia
Mexico,MEX,2021,5.57,126705136.0,North America
Nigeria,NGA,2021,4.11,213401328.0,Africa
North America,,2021,5.867857142857142,597123384.0,World
Norway,NOR,2021,9.75,5403021.0,Europe
Oceania,,2021,7.494999999999999,44492065.0,World
Pakistan,PAK,2021,4.31,231402112.0,Asia
Russia,RUS,2021,3.24,145102752.0,Europe
South Africa,ZAF,2021,7.05,59392256.0,Africa
South America,,2021,6.200833333333335,434254167.0,World
United States,USA,2021,7.85,336997632.0,North America
Vanuatu,VUT,2021,,319146.0,Oceania
World,OWID_WRL,2021,5.281377245508984,7909295104.0,World
