Entity,Code,Year,battery_electric_share
Austria,AUT,2019,2.698845954
Belgium,BEL,2019,1.606718509
Denmark,DNK,2019,2.437808531
Finland,FIN,2019,1.660452007
France,FRA,2019,1.93922737
Germany,DEU,2019,1.759369237
Greece,GRC,2019,0.164741759
Ireland,IRL,2019,2.941905275
Italy,ITA,2019,0.555101099
Luxembourg,LUX,2019,1.78213169
Netherlands,NLD,2019,13.91034579
Norway,NOR,2019,42.38305942
Portugal,PRT,2019,3.075527594
Spain,ESP,2019,0.76327647
Sweden,SWE,2019,4.38164391
Switzerland,CHE,2019,4.175753912
Turkey,TUR,2019,0.05732642
United Kingdom,GBR,2019,1.637719913
