Entity,Code,Year,Cumulative CO₂ emissions from gas
Brazil,BRA,1950,69594.0
Brazil,BRA,2000,172617570.0
Brazil,BRA,2022,1387833000.0
Canada,CAN,1800,0.0
Canada,CAN,1850,0.0
Canada,CAN,1900,0.0
Canada,CAN,1950,63559750.0
Canada,CAN,2000,4182170000.0
Canada,CAN,2022,8521110000.0
China,CHN,1950,14656.0
China,CHN,2000,907341950.0
China,CHN,2022,7896012000.0
European Union (27),,1800,0.0
European Union (27),,1850,0.0
European Union (27),,1900,0.0
European Union (27),,1950,111767960.0
European Union (27),,2000,16648030000.0
European Union (27),,2022,33662970000.0
India,IND,1900,0.0
India,IND,1950,0.0
India,IND,2000,492565440.0
India,IND,2022,2702184700.0
South Africa,ZAF,1900,0.0
South Africa,ZAF,1950,0.0
South Africa,ZAF,2000,38241210.0
South Africa,ZAF,2022,211910980.0
United Kingdom,GBR,1750,0.0
United Kingdom,GBR,1800,0.0
United Kingdom,GBR,1850,0.0
United Kingdom,GBR,1900,0.0
United Kingdom,GBR,1950,10992.0
United Kingdom,GBR,2000,3424089600.0
United Kingdom,GBR,2022,7320931300.0
United States,USA,1800,0.0
United States,USA,1850,0.0
United States,USA,1900,148377140.0
United States,USA,1950,4444359000.0
United States,USA,2000,49779237000.0
United States,USA,2022,80304770000.0
