Entity,Code,Year,Expenditures on general government outsourcing (% of GDP)
Canada,CAN,2014,9.23
Canada,CAN,2015,9.57
Colombia,COL,2014,9.64
Colombia,COL,2015,9.69
Estonia,EST,2014,8.46
Estonia,EST,2015,8.7
Finland,FIN,2014,14.23
Finland,FIN,2015,13.64
France,FRA,2014,11.11
France,FRA,2015,11.09
Italy,ITA,2014,8.21
Italy,ITA,2015,8.14
Lithuania,LTU,2014,6.52
Lithuania,LTU,2015,7.03
Mexico,MEX,2014,3.06
Mexico,MEX,2015,3.16
Netherlands,NLD,2014,16.83
Netherlands,NLD,2015,16.58
New Zealand,NZL,2014,10.77
New Zealand,NZL,2015,10.7
South Africa,ZAF,2014,8.63
South Korea,KOR,2014,8.17
South Korea,KOR,2015,8.14
Sweden,SWE,2014,11.95
Sweden,SWE,2015,11.83
Switzerland,CHE,2014,5.61
Switzerland,CHE,2015,5.77
