Entity,Code,Year,17.13.1 - Annual GDP growth (%) - NY_GDP_MKTP_KD_ZG
Germany,DEU,1980,1.41
Germany,DEU,1990,5.26
Germany,DEU,2000,2.91
Germany,DEU,2010,4.18
Germany,DEU,2021,2.63
India,IND,1961,3.72
India,IND,1970,5.16
India,IND,1980,6.74
India,IND,1990,5.53
India,IND,2000,3.84
India,IND,2010,8.5
India,IND,2021,8.68
United Kingdom,GBR,1961,2.68
United Kingdom,GBR,1970,6.84
United Kingdom,GBR,1980,-2.03
United Kingdom,GBR,1990,0.73
United Kingdom,GBR,2000,4.09
United Kingdom,GBR,2010,2.43
United Kingdom,GBR,2021,7.52
United States,USA,1961,2.3
United States,USA,1970,-0.28
United States,USA,1980,-0.26
United States,USA,1990,1.89
United States,USA,2000,4.08
United States,USA,2010,2.71
United States,USA,2021,5.95
