Entity,Code,Year,"Outbound mobility ratio, all regions, both sexes (%)"
Ireland,IRL,1998,13.59351
Ireland,IRL,2000,10.95001
Ireland,IRL,2005,10.24749
Ireland,IRL,2010,10.34748
Ireland,IRL,2015,7.02348
Ireland,IRL,2018,6.47663
Mauritania,MRT,1998,23.43074
Mauritania,MRT,2005,28.05821
Mauritania,MRT,2010,26.12431
Mauritania,MRT,2015,22.07471
Mauritania,MRT,2018,24.31946
Slovakia,SVK,1998,3.77004
Slovakia,SVK,2000,4.25653
Slovakia,SVK,2005,9.69304
Slovakia,SVK,2010,13.04137
Slovakia,SVK,2015,17.09074
Slovakia,SVK,2018,21.78806
Ukraine,UKR,1998,0.98082
Ukraine,UKR,2000,1.28708
Ukraine,UKR,2005,0.9114
Ukraine,UKR,2010,1.34025
Ukraine,UKR,2015,3.84017
Ukraine,UKR,2018,4.4631
