Entity,Code,Year,Deaths - Protein-energy malnutrition - Sex: Both - Age: Age-standardized (Rate),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,2.38,2079.9219,37769496.0,
Africa,,2019,,,1327701380.0,
Albania,ALB,2019,0.14,13655.665,2873883.0,
Angola,AGO,2019,15.04,6602.424,32353592.0,
Argentina,ARG,2019,2.31,22071.748,44745516.0,
Armenia,ARM,2019,0.04,14317.553,2820604.0,
Asia,,2019,,,4627738749.0,
Austria,AUT,2019,0.01,55806.438,8879939.0,
Belarus,BLR,2019,0.2,19279.209,9673971.0,
Benin,BEN,2019,7.64,3156.439,12290443.0,
Bermuda,BMU,2019,0.29,81681.73,63833.0,
Bhutan,BTN,2019,0.51,11797.284,767467.0,
Bolivia,BOL,2019,10.07,8528.749,11777318.0,
Botswana,BWA,2019,9.8,15117.995,2499705.0,
Bulgaria,BGR,2019,0.04,23270.225,7052536.0,
Burundi,BDI,2019,24.46,729.65845,11874838.0,
Cape Verde,CPV,2019,2.44,6835.0786,577037.0,
China,CHN,2019,1.09,15977.764,1421864064.0,
Colombia,COL,2019,2.66,14616.135,50187404.0,
Comoros,COM,2019,12.54,3290.6506,790993.0,
Djibouti,DJI,2019,27.07,4768.113,1073999.0,
Egypt,EGY,2019,1.5,11180.697,105618672.0,
Ethiopia,ETH,2019,12.9,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,3.94,13241.354,918472.0,
Finland,FIN,2019,0.04,48583.434,5521539.0,
France,FRA,2019,2.12,45922.793,64399760.0,
Gabon,GAB,2019,6.74,14478.002,2242788.0,
Gambia,GMB,2019,8.04,2083.309,2508882.0,
Germany,DEU,2019,0.26,53874.316,83148144.0,
Ghana,GHA,2019,9.56,5345.9414,31522294.0,
Greece,GRC,2019,0.01,29721.586,10574026.0,
India,IND,2019,1.19,6608.624,1383112064.0,
Indonesia,IDN,2019,14.53,11857.789,269582880.0,
Iran,IRN,2019,0.29,14084.354,86564208.0,
Iraq,IRQ,2019,0.26,10299.316,41563524.0,
Ireland,IRL,2019,0.08,86681.27,4896021.0,
Japan,JPN,2019,0.33,41697.41,125791680.0,
Jordan,JOR,2019,0.37,9551.165,10698682.0,
Kazakhstan,KAZ,2019,0.57,26351.805,18754260.0,
Kenya,KEN,2019,15.4,4601.2114,50951452.0,
Kuwait,KWT,2019,0.02,47314.797,4441105.0,
Kyrgyzstan,KGZ,2019,0.13,5258.3667,6323643.0,
Latvia,LVA,2019,0.04,31038.68,1916552.0,
Liberia,LBR,2019,11.75,1455.6377,4985290.0,
Libya,LBY,2019,0.32,22535.445,6569085.0,
Lithuania,LTU,2019,0.06,37184.453,2849083.0,
Luxembourg,LUX,2019,0.58,114542.5,619981.0,
Madagascar,MDG,2019,28.32,1585.4717,27533134.0,
Mali,MLI,2019,57.15,2219.0466,20567430.0,
Mexico,MEX,2019,6.56,20064.5,125085312.0,
Moldova,MDA,2019,0.02,13030.183,3109496.0,
Mongolia,MNG,2019,0.01,12458.019,3232435.0,
Morocco,MAR,2019,0.71,8217.599,36304408.0,
Mozambique,MOZ,2019,17.43,1285.1848,30285602.0,
Nepal,NPL,2019,5.22,3922.0813,28832500.0,
Niger,NER,2019,7.81,1217.446,23443400.0,
Nigeria,NGA,2019,2.28,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,3.5,5157.5464,223293280.0,
Panama,PAN,2019,2.89,31543.605,4232538.0,
Philippines,PHL,2019,5.0,8731.861,110380800.0,
Qatar,QAT,2019,0.12,90840.43,2807242.0,
Romania,ROU,2019,0.23,30006.336,19524212.0,
Russia,RUS,2019,0.12,27254.574,145742288.0,
Saint Kitts and Nevis,KNA,2019,6.54,31194.736,47739.0,
Saudi Arabia,SAU,2019,0.61,44954.992,35827364.0,
Senegal,SEN,2019,3.68,3430.484,16000783.0,
Serbia,SRB,2019,0.09,18310.08,7401056.0,
Singapore,SGP,2019,0.01,98283.31,5866408.0,
Slovenia,SVN,2019,0.01,39034.234,2112905.0,
Somalia,SOM,2019,46.73,1138.2859,15981312.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,0.17,42758.59,51803832.0,
Sri Lanka,LKA,2019,0.77,13639.021,21649664.0,
Sweden,SWE,2019,0.39,52850.57,10267922.0,
Tajikistan,TJK,2019,0.02,3575.2798,9337008.0,
Togo,TGO,2019,5.38,2080.5242,8243093.0,
Trinidad and Tobago,TTO,2019,1.54,25306.617,1519960.0,
Turkey,TUR,2019,0.92,28150.059,83481688.0,
United Kingdom,GBR,2019,0.09,47362.266,66778660.0,
United States,USA,2019,0.89,62478.254,334319680.0,
Uzbekistan,UZB,2019,0.04,7348.147,32976946.0,
Vietnam,VNM,2019,0.12,10252.005,95776712.0,
World,OWID_WRL,2019,3.01,16847.46,7764951040.0,
Zambia,ZMB,2019,17.69,3372.359,18380478.0,
