Entity,Code,Year,"Death rate per 100,000 people - Cause: Natural disasters - Sex: Both sexes - Age group: ALLAges"
India,IND,2000,0.22
India,IND,2001,1.98
India,IND,2002,0.08
India,IND,2003,0.06
India,IND,2004,1.61
India,IND,2005,0.34
India,IND,2006,0.12
India,IND,2007,0.18
India,IND,2008,0.15
India,IND,2009,0.15
India,IND,2010,0.08
India,IND,2011,0.07
India,IND,2012,0.03
India,IND,2013,0.51
India,IND,2014,0.07
India,IND,2015,0.09
India,IND,2016,0.06
India,IND,2017,0.15
India,IND,2018,0.1
India,IND,2019,0.15
