Entity,Code,Year,Vegetal Products | 00002903 || Food available for consumption | 0674pc || grams of protein per day per capita,"Meat, total | 00002943 || Food available for consumption | 0674pc || grams of protein per day per capita",All egg products | 00002744 || Food available for consumption | 0674pc || grams of protein per day per capita,Milk | 00002948 || Food available for consumption | 0674pc || grams of protein per day per capita,Fish and seafood | 00002960 || Food available for consumption | 0674pc || grams of protein per day per capita
Africa (FAO),,2020,51.52,6.3,0.63,3.44,2.83
Cameroon,CMR,2020,60.72529,4.649593,0.10020675,1.2826463,5.0704613
Cuba,CUB,2020,47.29826,24.065083,2.4856894,7.1964717,1.7439917
Guinea-Bissau,GNB,2020,34.755154,5.2230363,0.35145664,2.1575532,0.33193126
Israel,ISR,2020,51.35507,40.918015,3.6173894,20.340403,6.18712
Mozambique,MOZ,2020,36.901142,2.4460416,0.39096564,0.4310647,3.9798298
Namibia,NAM,2020,44.660664,12.964352,0.30624455,5.4103203,3.7361834
North Macedonia,MKD,2020,48.82071,14.477456,1.50005,17.181494,1.5691313
Oceania,,2020,36.34559,33.858925,1.871381,13.925495,5.959769
Rwanda,RWA,2020,48.512817,3.2315605,0.108375505,1.8423836,1.4384385
Tunisia,TUN,2020,69.69668,9.960833,2.0893455,11.3699255,3.731668
