Entity,Code,Year,Domestic general government health expenditure (% of GDP)
Australia,AUS,2000,5.469498
Australia,AUS,2005,5.7398744
Australia,AUS,2010,6.1003284
Australia,AUS,2015,6.3836975
Australia,AUS,2019,7.1042514
Brazil,BRA,2000,3.470154
Brazil,BRA,2005,3.3452585
Brazil,BRA,2010,3.5770106
Brazil,BRA,2015,3.8538468
Brazil,BRA,2019,3.9075587
China,CHN,2000,0.9907074
China,CHN,2005,1.3679798
China,CHN,2010,2.1959882
China,CHN,2015,2.9719067
China,CHN,2019,2.9950342
Germany,DEU,2000,7.733003
Germany,DEU,2005,7.8034444
Germany,DEU,2010,8.399001
Germany,DEU,2015,8.607651
Germany,DEU,2019,9.091779
India,IND,2000,0.8344298
India,IND,2005,0.76303685
India,IND,2010,0.85750186
India,IND,2015,0.92193186
India,IND,2019,0.9882924
Uganda,UGA,2000,1.2568009
Uganda,UGA,2005,0.9980061
Uganda,UGA,2010,1.0637172
Uganda,UGA,2015,0.7747089
Uganda,UGA,2019,0.5782495
United Kingdom,GBR,2000,5.520055
United Kingdom,GBR,2005,6.861744
United Kingdom,GBR,2010,8.079295
United Kingdom,GBR,2015,7.9213724
United Kingdom,GBR,2019,8.069204
United States,USA,2000,5.542262
United States,USA,2005,6.629409
United States,USA,2010,7.944765
United States,USA,2015,8.452505
United States,USA,2019,8.524923
