Entity,Code,Year,Deaths - Diarrheal diseases - Sex: Both - Age: Under 5 (Number)
Namibia,NAM,1990,321
Namibia,NAM,1995,260
Namibia,NAM,2000,252
Namibia,NAM,2005,249
Namibia,NAM,2010,274
Namibia,NAM,2015,227
Namibia,NAM,2019,190
Region of the Americas (WHO),,1990,98174
Region of the Americas (WHO),,1995,64901
Region of the Americas (WHO),,2000,38526
Region of the Americas (WHO),,2005,25357
Region of the Americas (WHO),,2010,16804
Region of the Americas (WHO),,2015,11633
Region of the Americas (WHO),,2019,9516
Serbia,SRB,1990,9
Serbia,SRB,1995,7
Serbia,SRB,2000,4
Serbia,SRB,2005,3
Serbia,SRB,2010,3
Serbia,SRB,2015,3
Serbia,SRB,2019,2
Tunisia,TUN,1990,140
Tunisia,TUN,1995,70
Tunisia,TUN,2000,44
Tunisia,TUN,2005,30
Tunisia,TUN,2010,23
Tunisia,TUN,2015,17
Tunisia,TUN,2019,13
